Spout_wait,Spliters,Counters,Throughput+,Latency-
2,4,9,17995,217.53
1,5,14,17701,193.79
2,5,9,17453,193.94
7,2,15,18042,199.53
4,4,3,15042,210.11
10,6,8,18098,193.22
100,4,6,16985,185.27
5,4,15,20414,183.81
8,5,18,20587,168.9
8,3,2,13259,238.38
3,4,13,17653,194.27
10,1,8,15960,196.1
9,2,17,20515,169.13
7,2,13,19275,172.32
7,6,6,16851,192.84
8,5,5,16135,206.76
4,4,12,19112,192.52
1,2,10,16738,221.13
7,5,12,20426,178.93
3,5,6,16402,193.27
9,4,15,20460,187.65
2,5,4,15386,225.32
5,3,1,9461.5,349.23
1,5,7,15979,201.95
7,4,13,20307,183.41
9,4,11,19424,185.42
5,4,7,17128,209.43
9,3,11,19562,171.72
10,1,13,14791,214.05
100,3,15,20907,163.76
1,5,6,15394,224.92
1000,3,9,3283.9,763.71
1000,1,17,2853.9,925.21
3,2,16,19593,183.14
6,1,6,12687,245.38
100,5,16,19504,159.93
6,2,5,15739,220.35
5,5,5,16032,205.54
1000,5,8,3154.5,776.68
6,2,13,19408,170.62
8,2,9,16869,216.81
8,4,17,21847,168.13
100,4,10,18951,185
7,5,1,9911,358.43
100,5,4,15194,217.83
2,1,15,13883,240.04
1000,3,17,3036.7,798.57
1000,5,14,3115.9,815.55
1,2,12,15830,208.02
5,5,13,20216,185.46
