A,B,C,A-,B-
4,15,4,12.43931146,9.998033505
5,7,3,12.73914771,10.03234148
3,8,4,10.87728413,8.708210224
1,22,3,10.30606169,8.144994221
3,32,5,12.84588203,10.53302527
3,19,3,11.50729912,9.434258562
1,64,5,11.25325658,9.618118628
1,19,3,9.965784285,7.724034654
2,35,3,10.7548875,10.60570099
0,25,3,10.23122118,7.792134629
7,8,4,14.35211241,10.73711949
4,25,3,12.79095933,11.14327081
3,7,4,10.75154406,8.522529897
8,19,3,15.88464752,11.81792813
8,4,5,15.16030477,7.802506965
8,25,3,16.24881706,12.12185067
5,15,4,13.30919211,10.62523982
5,19,4,13.48242984,10.94420462
0,22,4,10.27262979,7.208748533
1,16,5,10.215533,7.730255858
1,2,5,8.113742166,4.866478395
3,15,4,11.47522678,9.330080673
6,35,4,14.76647715,12.44172061
0,64,5,11.35810171,8.757891433
4,36,1,12.65082737,12.47418769
8,7,3,15.10328781,10.52989738
2,15,4,10.76321237,8.438053168
1,36,2,10.37068741,9.771066822
5,7,4,12.51619248,10.18870654
3,2,5,9.668884984,6.792616241
5,36,1,13.52380696,13.23156242
2,32,5,11.98156728,9.663789749
8,25,4,16.20472396,11.73287415
4,14,3,12.26620091,9.686131921
0,36,2,10.76983784,8.765405487
4,15,3,12.35066299,9.859624439
0,8,4,9.095397023,6.02339954
1,35,4,10.509775,9.767290131
1,36,1,10.09275714,9.736811715
1,7,3,9.453270634,6.788873143
4,35,3,12.69913863,12.15636984
0,4,5,9.019590728,4.849816643
6,1,5,11.43201985,6.942698771
0,7,4,8.829722735,5.78971557
7,7,3,14.22158712,10.17312412
3,19,4,11.70043972,9.61497325
6,7,3,13.56902487,10.19925538
3,8,3,11.01820018,8.807303347
4,8,3,11.97835296,9.557560706
6,19,4,14.33998915,10.79276682
