Spout_wait,Spliters,Counters,Throughput+,Latency-
7,3,6,8394.2,336.58
6,6,10,10840,264.19
4,1,9,6948.2,356.86
3,1,4,7133,398.76
6,2,13,8194.6,305.47
2,5,7,9593.7,281.05
6,2,15,9447.6,294.77
1000,3,4,2650.6,982.38
5,1,3,7380.9,404.3
6,3,2,11026,269.94
8,4,10,7578.6,355.99
4,1,7,7383.9,404.74
7,4,3,8305.5,346.67
5,2,14,8740.4,305.11
8,3,14,7201.4,368.14
10000,6,2,368.47,7717
60000,6,7,343,37451
6,3,6,9923.7,274.52
1,3,12,9966.8,272.83
10000,6,6,391.69,6962.4
60000,2,10,181.8,55522
7,5,16,6954.4,380.6
7,4,1,8952.6,318.18
9,6,3,7033.1,400.69
1000,2,3,2705.5,1055.2
3,6,17,10359,258.59
7,4,13,8379.3,337.84
7,2,9,7558.7,354.59
1000,5,13,2579.3,965.29
4,3,6,10230,302.15
10,3,18,7902,369.69
3,2,1,8315.9,326.32
2,1,5,7598.4,357
3,6,9,10024,281.35
1000,1,6,2534.9,1126.5
1,5,1,9549.3,273.54
6,3,11,10323,282.02
8,6,2,7525.2,386.96
5,6,3,10128,277.92
4,2,15,9460.9,302.46
5,2,11,9060.4,313.2
6,5,17,10582,263.96
2,1,12,7380.2,393.2
2,5,4,9311.9,287.58
2,5,6,9941.1,285.15
2,2,13,9511.7,307.6
2,3,13,10386,272.9
6,5,10,9881.7,275.11
1000,6,2,2809.9,958.99
6,3,10,10389,273.26
10000,1,13,299.25,8308.3
3,5,13,9921.9,286.77
5,5,6,9465.1,269.73
10000,3,3,310.12,8731.1
4,4,5,10280,285.3
2,4,14,10265,274.53
5,3,18,10428,272.6
8,4,9,6805.5,392.38
8,6,4,7361.6,366.91
7,3,9,8446,325.83
9,4,5,7357.6,395.26
100,4,18,7056.1,367.68
60000,6,15,172.4,35839
2,6,3,9383.1,288.03
1000,1,10,2607.5,1036.6
10000,2,15,290.47,8631.6
8,4,13,7265.4,378.77
9,6,14,7618.7,374.6
100,6,4,7288.4,377.57
1000,4,10,2859,965.63
60000,2,1,185.8,46488
6,6,11,10183,267.11
1000,3,1,2748.4,954.29
60000,3,8,196.5,37933
60000,4,5,275,41784
60000,6,12,214.67,28241
1,1,10,7255.9,361.51
60000,4,10,161.17,33725
60000,2,18,189,42380
8,5,10,6487.8,388.55
4,1,11,7142.8,378.85
2,6,11,10375,271.97
10,3,6,7213.7,380.23
10,4,1,8109.1,360.21
10,4,10,7917.7,376.25
10,6,16,7678.8,382.6
9,1,4,5061.3,548.2
1000,3,17,2790.7,982.15
1,4,7,9424.6,282.2
4,4,1,10286,271.17
60000,3,2,173.2,53596
60000,6,6,423,32849
1,6,6,9321.4,271.78
2,4,6,10001,290.76
1000,4,6,2519.3,962.56
60000,2,13,171.8,46373
4,4,18,10155,262.54
7,4,8,8417.2,336.47
7,1,4,6970.3,399.57
8,6,8,7682.1,359.28
6,4,5,10070,271.39
4,2,2,9261.6,315.44
10000,2,7,312.44,8459.8
60000,6,16,223.17,28919
5,5,17,10795,252.32
100,3,3,7232.2,391.63
3,5,14,10109,275.3
8,1,14,4845.1,589.89
60000,3,12,129.67,52729
100,4,17,7340.6,367.86
60000,4,9,205,31300
1000,1,11,2383.2,1110
3,6,2,10294,258.52
3,3,1,10409,266.53
5,6,15,10559,265.15
3,6,8,9541.1,265.4
7,4,14,9014,294.81
7,1,7,6914.6,395.43
8,6,3,7708.8,375.6
7,1,10,7238.5,379.95
4,2,12,9053.5,311.32
6,3,9,9947.6,280.95
6,4,15,11065,255.62
9,2,15,6728.9,417.83
8,3,6,7241,403.35
100,3,1,7631.9,375.9
2,1,11,6753,402.31
7,4,17,8703.1,335.14
3,3,8,9659.7,298.43
5,2,4,7633.1,328.1
7,2,3,6712.4,387.2
2,5,12,10328,266.62
10,4,17,8057.2,353.39
100,4,4,7447.4,388.17
6,2,2,9638.7,304.03
6,3,5,10323,275.09
9,4,12,6878.6,377.95
10,2,5,6468.3,426.45
10,3,15,7215.2,364.48
1,4,13,10221,270.13
10000,5,4,349.5,7478.9
5,3,11,9387.1,274.04
1,3,16,9582.1,270.07
10000,1,4,283.12,8773
2,4,1,10433,281.2
100,4,16,7724.2,377.11
6,5,15,10797,254.69
9,1,15,5112,544.7
2,6,16,9800.6,267.29
2,5,8,9528.7,273.77
5,6,7,9995.5,266.29
1,4,6,9298.4,281
10000,2,1,336.62,7924.3
5,6,12,9367.9,270.21
10000,1,7,296.29,8830.7
10,3,8,7122.6,375.03
10000,4,18,367.2,8182.4
9,2,7,6797.8,410.15
10000,5,16,361.44,7394.4
1000,6,17,2602.7,913.31
10,6,14,7489.6,375.86
6,5,8,10018,262.39
60000,1,1,157.67,51412
10000,5,8,413.38,6945.1
4,5,2,10301,287.26
4,2,5,8701.9,302.32
60000,1,8,179.5,39938
60000,3,9,169.83,37314
1000,5,10,2626.9,946.04
3,1,8,6885.3,401.21
1000,5,5,2613.3,1013.9
60000,1,15,164.33,46303
5,5,2,10317,270.05
100,3,6,7395.4,389.28
60000,5,6,154.17,30327
1,3,14,10168,272.87
2,1,9,7277.6,394.18
10,5,15,7541.1,374.31
7,5,7,7175.6,371.9
100,2,17,6615.8,439.2
3,3,17,10085,261.22
6,4,9,9934.4,284.33
100,1,17,4955.9,540.26
100,2,6,6780.3,434.14
1000,6,10,2750.5,942.83
3,1,5,6994.6,368.25
2,5,18,10336,264.47
1000,4,8,2589.7,955.41
3,2,7,8996,320.99
2,3,10,9781.7,286
1000,6,9,2668.2,949.53
7,2,10,7900.2,375.98
10,6,3,7731.3,381.73
2,4,16,9921.8,273.4
2,1,8,7137.8,394.49
4,4,2,9827.6,286.89
8,6,14,7534,361.53
8,4,12,7065.2,381.96
2,2,9,8805.2,311.97
5,4,5,10715,281
3,6,11,10021,274.85
1,3,10,9962.3,287.62
100,1,12,4964.1,583.87
10000,6,11,424.53,6667.9
8,6,17,7660.1,364.64
