Max_spout,Spliters,Counters,Throughput+,Latency-
1.00E+06,6,3,20812,2143
1.00E+06,2,6,45856,1.05E+05
1,6,1,4904.2,2.1626
1,2,9,4369.6,2.4306
1,6,6,4847.1,2.1376
1000,1,3,20050,553.74
10,3,15,17209,6.2798
10000,6,1,21157,1439.6
1.00E+05,1,6,27212,25993
100,1,18,20121,56.687
1000,6,1,11583,1038.1
1000,3,3,19036,595.91
10,2,1,7006.2,15.859
10000,2,9,30161,3483.2
10000,1,1,9689.1,11175
1000,1,1,10038,1063.6
1000,2,3,22289,518.71
1.00E+06,1,9,41829,24516
1000,3,18,21701,482.7
10,3,18,16140,7.2948
1,1,9,4156.9,2.5688
1000,2,1,8666.8,1239.5
10,2,3,14169,8.1471
10000,1,12,20300,5131.3
1,6,3,5151,2.0815
100,1,6,18264,61.409
1,2,6,4423.6,2.3538
1000,1,15,23497,439.35
1.00E+06,1,12,54656,73740
100,1,15,19875,53.539
10000,1,3,20072,4961.1
10000,2,12,35418,3138.8
1.00E+06,6,1,30522,961.88
1.00E+05,1,3,18689,51009
1.00E+06,1,3,51949,53632
1.00E+05,3,1,16832,24535
1.00E+05,2,9,30669,27780
10,1,9,14807,7.5491
100,2,15,25948,46.001
1.00E+05,1,15,20828,41317
100,3,1,8465.1,132.78
100,2,1,8746,117.57
100,3,3,16941,65.185
1000,2,18,32815,341.28
1000,3,15,22132,468.71
1.00E+06,3,15,19319,1711.5
1000,1,18,24392,419.91
1.00E+05,1,12,19390,41428
1.00E+05,6,9,24757,1024
1,3,3,5058.6,3.5506
