Max_spout,Spliters,Counters,Throughput+,Latency-
1000,1,15,25778,412.5
10000,2,9,34739,3308
1,6,9,5160.1,2.0405
10000,2,15,34157,3154.6
1.00E+06,1,15,58616,84497
1000,1,6,23770,478.53
100,2,12,33320,34.184
1000,3,15,23466,447.55
100,6,9,23012,37.855
10000,3,6,21413,1751.1
1.00E+06,6,15,26632,824.51
1,2,3,4747.2,2.1477
1.00E+06,2,3,42537,85607
1.00E+05,1,15,21114,46172
100,2,3,24998,49.584
1.00E+06,2,9,72394,58477
1,2,18,4606.4,2.2191
10000,6,15,27720,745.04
10000,3,1,9504.8,11114
1.00E+05,6,3,21885,1960.1
10000,6,9,27814,655.03
10,6,9,19413,5.2046
1.00E+05,1,9,20241,48535
1.00E+06,6,9,28562,638.08
1.00E+06,2,15,58581,59230
1,3,15,5143,2.0329
1000,6,15,27234,277.65
100,1,1,10747,111.5
100,6,6,24578,38.387
100,1,3,21959,53.857
10000,3,3,19143,1658.2
1.00E+06,1,12,55320,91290
10,2,18,22140,4.9532
1,6,1,5318.7,1.9595
10000,3,15,22331,1447.1
1.00E+06,6,12,28919,741.02
10000,6,6,25263,1057.2
1,6,18,4957.8,2.043
10,3,1,8400,12.509
10000,2,1,8922.4,11828
1.00E+05,6,12,29156,697.91
100,3,9,23160,45.546
10000,6,1,11814,8104.6
10,6,12,20995,4.3988
1.00E+05,2,12,35034,28760
10000,1,1,9549.7,10420
1.00E+06,1,6,54006,89234
100,2,18,33784,32.883
1.00E+05,1,6,19583,46923
1.00E+05,3,18,21210,1826.1
