Max_spout,Spliters,Counters,Throughput+,Latency-
1.00E+05,2,12,29893,34751
10,2,15,18564,5.822
1.00E+05,2,18,32366,28518
1.00E+06,3,3,17810,2023.7
10000,3,9,19366,1781.6
10000,2,6,27670,3923
100,2,1,7677.3,137.63
1.00E+05,1,6,18566,51016
1.00E+05,6,15,26714,985.57
100,1,12,20382,57.635
10,3,3,14028,8.641
1.00E+06,2,18,63113,76115
1.00E+06,3,15,20226,1784.3
1000,2,3,22093,522.18
1000,1,12,22722,494.29
100,2,18,28405,38.097
1000,3,3,18655,579.29
10000,6,18,25694,828.89
1,2,1,4097.1,2.6345
1.00E+06,2,9,61403,52488
1000,1,3,20665,547.77
100,6,6,21305,46.838
1000,2,6,28725,399.13
1.00E+06,1,9,35978,85576
10,6,9,18337,5.274
1.00E+05,3,9,21496,1595.8
10000,1,3,16015,6876.6
10000,6,9,25614,1220.9
100,1,1,8600.1,142.45
10000,2,9,30740,3751.1
10,1,1,7494.8,15.267
10000,2,18,30901,3380.6
10000,3,6,16018,2153.4
1.00E+05,6,3,19790,2276.2
1,3,15,4684.3,2.263
1.00E+06,2,3,41319,90593
100,3,9,21596,51.502
1,2,12,4224.6,2.4514
1,1,1,4123.9,2.5786
10000,6,12,26973,856.94
1,1,18,4100.2,2.6116
100,3,12,20701,58.286
1.00E+05,6,6,24924,869
10,6,3,16448,6.6913
1.00E+06,6,18,26278,1019.7
10000,2,1,6913.8,14710
1,1,3,4098.6,2.5385
100,3,3,17860,61.224
1,1,6,4176.9,2.5477
1000,2,18,34045,334.44
