Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
6,1,3,2,6.867241668,4.983829961
5,1,4,10,7.578983985,5.093914226
6,1,1,20,7.978390142,5.111081381
5,1,3,100,9.766851864,5.117965171
4,1,1,2,7.324189549,4.889213047
4,0,3,50,8.900257005,5.101620629
7,0,1,20,7.739753612,5.115354732
4,0,4,5,7.075885561,5.041577674
5,0,2,5,6.849711592,5.068121424
4,0,1,5,7.075885561,5.041574063
7,0,2,1,6.144515496,4.923426501
6,0,4,50,8.797687462,5.118824889
6,0,3,100,9.682815552,5.121427207
3,1,3,1,7.835102979,4.33936051
7,1,2,20,7.937150152,5.112800375
7,1,3,10,7.408083432,5.099070723
5,1,3,10,7.578983985,5.093914276
5,0,1,5,6.849711592,5.068119779
3,1,2,10,8.211265344,5.02012911
3,1,4,50,9.251482411,5.059483872
6,1,1,2,6.867254025,4.983722136
5,1,4,100,9.766851864,5.117965171
4,0,2,5,7.075885561,5.041577674
5,0,4,5,6.849711592,5.068121424
5,1,2,1,6.951937423,4.79503586
7,0,1,50,8.780969477,5.120554394
5,0,1,20,7.834932386,5.110228707
7,1,3,5,7.04617453,5.07314603
6,0,2,50,8.797687462,5.118824889
5,1,1,50,8.947271652,5.114503927
4,0,4,100,9.746890481,5.104194403
3,1,3,10,8.211260476,5.020135758
4,0,4,10,7.429866991,5.085425876
4,1,4,100,9.824529208,5.104190483
4,1,1,5,7.513411787,5.031031867
5,1,1,2,7.035777848,4.952769374
6,0,2,10,7.162582668,5.102447958
3,0,3,5,7.540786742,4.946186618
4,1,2,5,7.513253856,5.031756014
3,0,1,1,7.28555018,4.401360964
4,1,4,50,9.037629313,5.100760951
3,0,3,10,7.807606084,5.029858801
4,1,1,50,9.037629313,5.100760951
7,0,2,5,6.656067274,5.083255384
7,0,1,5,6.656067274,5.083255384
7,1,2,100,9.726829514,5.123157473
6,1,2,5,7.121688916,5.0697917
5,0,3,50,8.830730684,5.115372185
3,1,2,20,8.548710187,5.046250314
7,0,2,100,9.672985692,5.123159887
6,0,2,1,6.24014257,4.894785504
4,0,2,100,9.746890481,5.104194403
5,0,4,10,7.256642729,5.099033291
3,1,4,1,7.835102979,4.33936051
7,1,2,5,7.04617453,5.07314603
6,0,1,10,7.162582668,5.102447958
3,0,1,20,8.239068608,5.051194744
6,1,4,1,6.771370616,4.850979895
7,0,2,20,7.739753612,5.115354732
3,1,1,20,8.548710187,5.046250314
