Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-
3,1000,1,2,3,1000,12534,3159.7
1,10,10,2,3,1000,8248.2,12.2
3,1000,2,1,1,1000,4007.2,7253.8
3,10,10,1,12,1000,14822,23.094
3,10,1,2,12,1000,15122,24.173
1,1000,2,1,1,1000,10301,1152.4
3,100,3,3,3,10,14329,219.78
3,10000,1,3,3,1000,8206.2,28561
1,1000,1,1,6,10,15415,689.6
1,10,100,2,3,1000,993.94,101.07
3,10000,1,2,6,10,11433,21646
3,1,1,6,12,10,6425.1,4.5494
1,10000,100,3,1,1000,4506,21005
1,1000,10,1,3,100,15844,669.19
3,1,10,1,3,10,2582.7,10.756
3,100,2,2,12,100,16293,232.25
1,1,3,2,6,1000,1599.6,6.1652
3,100,2,2,12,10,16253,205.9
1,10000,10,3,3,10,16442,5743
1,10000,2,2,6,100,26036,5115.1
3,1,2,1,3,1000,5454.2,5.669
3,10000,3,2,1,1000,5801.7,40928
1,100,3,2,6,1000,17674,61.292
3,1000,3,3,6,10,27409,1519
3,2,3,6,12,100,8555.1,7.1535
3,100,1,2,6,100,14272,240.21
1,100,10,6,3,1000,14028,75.397
3,10,1,6,12,1000,16052,21.604
1,2,100,2,12,10,211.12,101.09
3,10000,10,2,12,10,14594,19881
3,10,2,3,12,100,17137,19.298
3,10,3,6,12,10,17814,18.043
3,1000,100,2,1,10,10065,3870.6
1,2,2,2,6,10,3858.7,5.2703
3,100,2,2,6,10,14859,226.83
1,1000,100,3,1,10,10612,943.22
1,1,10,3,12,1000,944.31,10.723
1,1,1,2,3,10,2153.5,4.5248
3,100,1,3,12,1000,18359,218.25
1,1,3,1,12,1000,1623.1,6.1748
1,1000,100,6,1,100,10341,950.42
3,10,3,3,12,10,18199,17.336
1,100,2,3,6,1000,13664,75.72
3,1000,1,3,3,1000,19418,2031
3,2,100,3,12,10,541,100.4
1,1,1,3,3,1000,3032.4,3.4557
1,1000,10,6,1,100,10510,1038
1,1,1,6,1,10,2499.4,3.6658
3,1,3,3,1,10,6061.7,5.0852
3,10,100,2,3,1000,2822.9,106.62
3,2,1,1,12,1000,8600.6,7.4323
1,1000,100,6,3,10,15668,629.59
3,2,1,6,6,100,9576.1,6.2878
3,1000,3,2,6,100,23193,1677
3,10000,3,3,1,10,6063.9,43013
3,10,3,1,12,10,14544,24.151
1,2,3,6,1,10,3330.8,5.7722
1,100,1,6,12,1000,14318,75.42
1,10000,3,1,6,10,24172,4794
1,1,10,6,1,10,865.76,20.952
3,10000,2,6,12,1000,10663,33111
1,10,1,2,6,1000,12545,8.4146
1,1000,100,3,6,1000,16661,575.91
3,2,3,6,6,10,8649.6,6.8908
1,1000,100,3,6,100,15755,593.15
1,2,10,3,3,10,1812.5,10.692
3,1000,1,6,6,100,27893,1427.4
1,100,10,1,3,10,13820,80.154
1,10,100,1,3,10,932.59,100.89
3,10000,1,6,1,100,5494.1,47411
3,1000,2,6,12,10,29900,2527.7
3,2,1,3,1,100,10890,5.9394
3,1000,1,3,3,10,15995,3156.8
1,100,100,3,1,10,7631.1,125.66
3,1,100,2,6,1000,279,100.87
1,1,100,6,1,10,82.412,100.38
1,100,1,3,6,10,13252,76.981
3,10,10,2,1,100,9911.5,32.764
1,10,3,3,1,10,8475.6,12.088
1,1,100,3,12,1000,104.25,100.47
1,2,10,2,12,1000,1722.9,11.699
3,1000,3,3,3,100,20717,2858.1
3,10000,10,3,12,100,16678,34327
3,1000,3,1,12,100,18165,2410
1,100,10,6,12,100,15917,65.319
1,10,10,3,12,100,7362.3,13.743
1,2,2,6,12,10,3987.3,4.811
1,10000,100,2,1,1000,4491.2,22250
1,2,100,6,12,1000,201.25,100.68
3,1000,100,2,3,1000,21545,1740.6
1,2,2,2,12,1000,3655.6,5.4408
1,1000,10,6,6,10,18788,571.35
3,100,10,1,12,10,14634,218.18
3,10,100,2,1,10,2696.4,104.65
3,1000,100,1,1,100,11588,3740.2
3,1,100,3,12,1000,300.47,100.75
3,1,3,3,1,1000,5975.8,5.1297
1,100,3,6,12,10,14267,76.236
1,1000,10,1,6,1000,17608,617.39
3,100,100,2,1,100,9226.1,339.72
3,2,1,1,3,10,9406.9,8.1706
3,2,10,1,6,100,5418.5,11.285
3,10000,2,1,12,100,6210.5,42021
3,100,1,3,6,10,15006,241.31
