F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing,NumberIterations-, TimeToSolution- 
1,1,0,0,0,0,0,1,1,20,75,7,8,7,293.797
0,1,0,1,1,1,0,0,1,80,35,0,5,16,160.386
1,1,0,1,0,0,1,0,1,30,75,4,5,7,192.434
1,1,1,0,0,0,0,0,1,70,90,1,2,27,240.898
1,1,0,0,0,0,1,0,1,85,85,4,4,38,1020.69
0,1,0,0,1,0,1,0,1,65,80,6,6,6,157.499
1,1,0,0,0,0,0,1,1,90,65,6,8,6,245.501
1,1,0,0,0,0,0,1,1,60,65,1,4,5,93.499
0,1,0,1,1,0,0,1,1,75,45,4,8,4,106.388
1,1,1,1,0,0,0,0,1,70,70,1,4,6,75.24999999
0,1,0,0,1,0,0,1,1,85,75,4,2,15,241.525
1,1,0,1,0,1,0,0,1,65,45,2,7,7,153.17
1,1,0,1,0,1,0,0,1,45,90,0,3,14,130.03
0,1,1,1,1,0,0,0,1,90,35,4,2,6,64.835
0,1,0,1,1,0,1,0,1,60,80,2,0,17,121.717
0,1,0,1,1,0,1,0,1,80,75,8,4,8,209.566
1,1,0,1,0,0,1,0,1,80,55,2,3,7,137.28
0,1,0,0,1,0,1,0,1,60,55,8,4,5,146.325
1,1,0,1,0,0,1,0,1,40,85,3,7,6,181.839
1,1,0,1,0,0,1,0,1,45,50,3,7,6,186.946
0,1,0,0,1,0,1,0,1,40,60,3,3,7,101.876
1,1,0,1,0,0,0,1,1,55,70,4,5,4,109.815
1,1,1,1,0,0,0,0,1,75,15,7,2,6,128.279
0,1,0,1,1,0,0,1,1,55,70,4,1,5,64.32200001
1,1,1,1,0,0,0,0,1,50,55,5,0,5,63.02
0,1,0,0,1,1,0,0,1,85,50,3,4,26,344.273
1,1,0,0,0,0,0,1,1,90,85,7,0,160,4043.375
1,1,1,1,0,0,0,0,1,80,55,5,8,4,106.896
1,1,0,0,0,0,0,1,1,60,90,3,3,5,99.021
0,1,0,0,1,0,0,1,1,20,80,4,6,10,214.39
0,1,0,1,1,0,0,1,1,20,90,5,3,5,96.333
1,1,0,0,0,1,0,0,1,85,90,1,0,501,2781.663
1,1,1,1,0,0,0,0,1,80,40,7,4,5,119.982
0,1,0,0,1,1,0,0,1,50,75,3,0,17,119.475
1,1,1,0,0,0,0,0,1,30,65,1,1,20,145.468
1,1,0,0,0,0,0,1,1,90,85,1,3,279,4515.432
0,1,0,0,1,1,0,0,1,40,70,8,7,7,170.867
0,1,0,0,1,0,0,1,1,50,45,2,5,5,84.043
0,1,0,0,1,0,1,0,1,55,85,5,5,6,141.96
1,1,1,1,0,0,0,0,1,65,65,3,5,4,76.905
0,1,0,0,1,1,0,0,1,70,30,6,0,18,211.997
0,1,0,1,1,0,1,0,1,35,80,2,6,8,150.857
1,1,1,0,0,0,0,0,1,75,65,1,0,23,132.152
0,1,0,1,1,1,0,0,1,80,85,6,1,46,613.394
1,1,0,0,0,0,0,1,1,80,85,8,5,12,467.319
1,1,0,0,0,0,1,0,1,90,65,0,8,9,235.079
1,1,0,1,0,0,1,0,1,70,75,2,2,11,170.78
1,1,0,0,0,1,0,0,1,70,25,2,8,25,584.828
0,1,0,0,1,0,1,0,1,55,70,2,8,5,116.572
1,1,0,0,0,1,0,0,1,60,50,7,2,7,149.611
1,1,0,1,0,0,0,1,1,90,15,8,6,4,171.759
0,1,0,1,1,0,0,1,1,85,5,6,7,4,121.589
0,1,1,0,1,0,0,0,1,50,85,5,7,6,120.65
1,1,1,0,0,0,0,0,1,45,70,6,7,5,182.467
0,1,1,1,1,0,0,0,1,80,80,7,2,6,97.092
1,1,0,1,0,0,1,0,1,90,80,1,3,90,1381.044
0,1,0,1,1,1,0,0,1,75,15,3,3,53,653.541
1,1,0,1,0,1,0,0,1,65,50,4,3,7,118.927
0,1,1,1,1,0,0,0,1,35,90,5,8,5,100.336
0,1,0,0,1,0,0,1,1,85,65,4,1,10,136.768
1,1,1,1,0,0,0,0,1,75,40,0,2,9,68.233
0,1,1,1,1,0,0,0,1,25,75,4,1,7,69.646
1,1,1,1,0,0,0,0,1,40,85,1,4,6,75.289
1,1,0,1,0,0,1,0,1,50,65,2,4,6,122.269
1,1,0,1,0,0,1,0,1,90,5,4,4,4,114.526
0,1,1,0,1,0,0,0,1,55,50,0,5,9,87.774
1,1,0,0,0,0,1,0,1,90,5,7,4,3,104.919
0,1,0,1,1,0,1,0,1,50,85,4,5,5,104.411
1,1,0,1,0,0,0,1,1,70,80,6,6,6,221.814
0,1,0,1,1,0,1,0,1,35,60,0,4,14,147.315
0,1,0,0,1,0,0,1,1,30,70,4,3,8,134.222
0,1,1,1,1,0,0,0,1,65,60,5,0,7,73.392
1,1,0,0,0,1,0,0,1,65,50,5,3,7,131.43
0,1,0,0,1,1,0,0,1,75,60,1,6,9,122.115
1,1,1,0,0,0,0,0,1,45,75,7,0,6,96.38300001
1,1,0,1,0,1,0,0,1,25,80,0,3,39,358.336
0,1,1,0,1,0,0,0,1,80,65,2,5,7,95.74300001
0,1,1,0,1,0,0,0,1,15,90,3,2,30,279.59
1,1,0,0,0,1,0,0,1,85,25,5,7,19,498.594
0,1,0,1,1,0,1,0,1,65,40,3,2,6,79.812
0,1,1,1,1,0,0,0,1,35,55,1,2,9,66.262
1,1,0,0,0,1,0,0,1,50,80,3,8,9,247.372
1,1,0,0,0,0,0,1,1,35,85,5,0,7,118.925
1,1,0,1,0,1,0,0,1,70,20,0,3,58,561.579
0,1,1,0,1,0,0,0,1,15,80,7,1,19,256.991
1,1,0,0,0,0,0,1,1,35,90,0,7,5,115.534
1,1,0,0,0,0,0,1,1,85,30,0,3,7,88.57
1,1,0,0,0,0,0,1,1,65,50,2,0,6,59.689
0,1,0,0,1,1,0,0,1,25,65,8,3,501,9173.657
1,1,0,0,0,0,0,1,1,50,90,8,1,4,109.794
1,1,0,1,0,1,0,0,1,80,85,7,0,44,778.485
0,1,0,0,1,1,0,0,1,65,50,1,6,8,106.731
0,1,0,0,1,0,1,0,1,60,30,5,0,5,72.892
1,1,0,0,0,0,1,0,1,50,85,1,0,19,133.038
0,1,1,1,1,0,0,0,1,50,85,1,1,9,54.464
1,1,0,0,0,1,0,0,1,30,75,1,7,11,217.042
1,1,1,0,0,0,0,0,1,60,85,7,7,5,143.393
0,1,0,0,1,0,0,1,1,90,40,3,3,5,74.265
1,1,0,1,0,1,0,0,1,50,80,0,6,9,134.837
1,1,1,0,0,0,0,0,1,85,35,6,7,5,134.473
1,1,0,0,0,0,0,1,1,20,85,4,3,12,267.537
1,1,0,0,0,1,0,0,1,85,75,7,6,23,643.603
1,1,0,0,0,0,0,1,1,40,75,5,8,5,187.082
0,1,1,1,1,0,0,0,1,70,60,2,6,5,73.811
1,1,0,0,0,1,0,0,1,90,80,4,1,501,6512.016
0,1,1,0,1,0,0,0,1,25,75,3,4,10,126.722
0,1,0,0,1,0,0,1,1,55,45,7,4,4,101.431
1,1,0,1,0,1,0,0,1,55,60,5,7,6,162.628
0,1,0,1,1,0,0,1,1,80,20,3,8,4,111.279
0,1,0,0,1,0,0,1,1,60,40,4,7,4,102.105
0,1,0,1,1,1,0,0,1,90,65,8,0,16,250.576
0,1,0,0,1,0,0,1,1,15,90,5,2,5,84.187
1,1,0,0,0,0,1,0,1,70,35,0,1,16,115.263
1,1,0,1,0,0,1,0,1,80,20,3,4,5,125.872
0,1,0,1,1,0,0,1,1,60,30,3,4,5,92.093
1,1,0,0,0,1,0,0,1,85,85,1,8,65,1333.084
1,1,0,1,0,0,1,0,1,50,75,2,2,6,90.61099999
0,1,0,1,1,0,1,0,1,85,30,0,2,11,78.138
0,1,1,0,1,0,0,0,1,45,75,3,1,7,61.49599999
1,1,0,0,0,0,1,0,1,50,45,4,5,5,151.502
1,1,0,1,0,1,0,0,1,80,35,8,3,7,186.21
1,1,1,0,0,0,0,0,1,75,25,5,8,6,170.544
0,1,0,1,1,1,0,0,1,60,55,3,1,10,94.359
0,1,0,1,1,0,1,0,1,70,90,8,8,4,135.842
0,1,0,1,1,0,1,0,1,75,30,8,7,4,130.007
1,1,0,1,0,1,0,0,1,70,75,4,1,13,174.763
0,1,1,1,1,0,0,0,1,70,25,5,2,6,83.372
0,1,1,1,1,0,0,0,1,40,80,3,3,6,68.09
0,1,0,1,1,0,1,0,1,55,50,3,1,7,75.488
1,1,0,0,0,0,0,1,1,75,70,6,0,7,144.253
1,1,0,0,0,1,0,0,1,30,70,2,0,53,409.814
0,1,0,0,1,0,1,0,1,65,75,5,8,5,148.646
1,1,1,0,0,0,0,0,1,60,60,3,4,5,80.618
