No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-
0,0,1,0,0.7,9,0.8,17,3,167,-33,86,334,36.6,67,418,0.7,38.422,1235.907692
0,0,0,0,1,3,0.6,51,3,40,100,4,250,23,40,0,1.4,47.105,2213.714989
1,0,0,0,0.7,17,0.8,34,6,167,-33,86,667,36.6,34,836,0.7,43.519,518.8484848
0,0,0,0,1,3,0.6,23,3,40,100,4,250,23,100,0,1.4,47.132,2337.974468
0,0,0,0,0.7,17,0.8,34,3,84,34,43,334,36.6,67,836,1.4,41.837,406.3209877
0,1,0,0,1,3,0.6,23,3,40,0,4,250,50,1,0,1.4,29.632,4382.93587
0,0,0,0,1.4,9,0.8,17,3,167,-33,86,667,23.3,34,836,0.7,51.19,629.2382784
0,0,0,1,1.4,9,0.8,34,3,84,-33,86,667,23.3,67,418,1.4,47.291,1453.641111
1,0,0,0,0.7,17,0.4,17,3,167,34,86,667,36.6,67,418,1.4,39.958,949.2
0,1,0,0,0.7,17,0.4,34,6,84,34,43,667,36.6,34,418,0.7,37.401,3673.789815
0,0,0,1,1.4,9,0.8,17,3,84,34,86,667,23.3,67,418,1.4,47.293,1413.932143
0,0,1,0,0.7,9,0.8,17,3,167,-33,43,334,23.3,34,418,0.7,47.068,1559.466667
0,0,0,0,0.7,17,0.8,34,6,167,34,43,667,23.3,34,418,0.7,47.084,1921.17042
0,0,0,1,0.7,17,0.4,17,6,167,34,86,334,36.6,67,418,0.7,37.447,1285.512821
1,0,0,0,1.4,17,0.4,34,6,84,34,43,334,23.3,34,418,0.7,47.22,1859.342593
0,1,0,1,1,3,0.6,51,3,40,0,4,1000,23,40,0,1.4,47.106,7745.173333
0,0,1,0,0.7,9,0.8,34,6,84,-33,43,667,36.6,34,836,0.7,40.404,511.7272727
0,0,1,0,0.7,17,0.8,34,6,84,34,43,667,36.6,34,836,1.4,41.76,460.32
0,0,0,1,1.4,17,0.4,34,3,167,34,43,667,23.3,67,836,1.4,49.741,502.8787879
0,0,0,1,1.4,9,0.4,17,3,167,-33,43,334,23.3,67,836,1.4,50.122,606.5846154
0,1,0,0,0.8,4,0.5,30,4,51,-27,6,320,26.7,51,0,1.8,44.54,6964.989136
0,0,0,0,0.7,9,0.4,17,6,84,34,86,667,36.6,34,418,0.7,37.412,1195.30787
0,0,1,0,1.4,17,0.4,34,3,167,34,86,667,36.6,34,418,1.4,37.624,1106.823188
0,0,1,1,0,3,0.6,0,3,40,0,4,250,23,40,0,1.4,47.037,2144.474419
0,0,1,0,0.7,17,0.4,17,6,167,34,86,667,36.6,67,836,0.7,39.816,487.2121212
0,0,1,0,1.4,17,0.4,17,3,167,-33,86,334,36.6,67,418,1.4,37.48,1175.491667
0,0,0,0,1,3,0.6,23,9,40,100,4,250,23,40,0,1.4,47.123,3657.546022
0,0,0,0,0.7,17,0.8,34,3,84,34,43,334,23.3,67,836,0.7,50.96,548.80867
1,1,0,1,0.3,18,0.5,19,8,123,74,84,706,32.3,32,0,1.3,42.711,2691.338989
0,0,0,1,0.7,17,0.4,34,3,167,34,43,667,36.6,34,418,0.7,37.398,1105.388406
1,0,0,0,1.4,9,0.8,17,3,167,-33,43,667,36.6,34,836,0.7,43.544,418.5185185
0,0,0,1,1,3,1,23,3,40,0,4,250,10,40,0,1.4,55.448,3586.300469
0,0,1,0,1,25,1,0,4,1,100,64,1000,30,1,0,1,43.518,1794.779048
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,2,47.177,7760.937634
0,0,0,0,0.7,9,0.4,34,3,84,-33,86,667,36.6,34,418,1.4,37.349,1094.736364
0,1,1,1,0.1,13,0.2,12,4,222,-49,74,304,14.1,60,0,1.8,50.424,3272.823295
0,1,0,0,0.7,17,0.4,17,6,167,34,43,334,36.6,34,836,1.4,40.124,1291.94321
1,0,0,0,1.4,9,0.8,34,3,84,34,86,667,36.6,67,418,0.7,39.324,950.9368421
1,0,0,0,1.4,9,0.4,17,6,167,-33,43,667,36.6,67,836,1.4,47.638,527.5151515
1,0,1,1,1.5,1,1,39,9,63,100,64,251,20,76,0,0,43.349,2017.534675
0,0,0,1,0.7,17,0.4,17,3,167,34,86,334,23.3,34,418,0.7,45.822,1346.735802
0,0,0,1,1.4,17,0.8,17,3,84,34,86,667,36.6,67,836,0.7,40.714,408.0888889
1,0,0,0,0.7,9,0.4,17,3,167,34,86,667,36.6,34,836,1.4,46.637,368.2583333
0,0,0,0,0.7,17,0.8,17,3,84,34,43,334,23.3,34,418,1.4,47.244,1471.909579
1,0,0,0,0.7,9,0.4,17,3,167,34,86,334,36.6,34,836,1.4,46.637,367.15
0,0,1,0,0.7,17,0.8,17,3,84,34,43,334,36.6,34,418,0.7,38.573,1088.404545
0,1,0,0,1.4,17,0.8,17,6,84,-33,86,334,23.3,67,836,0.7,51.143,2271.834074
0,0,0,1,1.4,9,0.8,17,3,84,-33,86,334,36.6,34,418,0.7,38.521,1147.188406
0,0,0,1,0.7,9,0.4,34,6,167,-33,86,334,36.6,34,836,0.7,38.54,601.4769231
0,0,0,0,1.4,17,0.8,17,6,84,34,43,667,36.6,67,836,0.7,40.731,462.4
0,0,0,1,0.7,9,0.4,17,3,84,-33,86,667,23.3,34,836,1.4,50.21,568.7
1,1,0,0,0.5,7,1,51,2,1,50,64,1000,20,76,0,0.5,49.564,2506.705187
0,1,0,0,1.4,9,0.8,17,6,167,34,86,334,36.6,34,836,1.4,41.294,1394.174713
0,1,0,0,1.4,9,0.4,34,6,167,-33,43,667,23.3,67,418,0.7,45.923,5850.19941
1,0,0,0,1.4,9,0.4,17,3,84,-33,43,334,23.3,67,418,1.4,48.126,1601.935484
0,0,1,0,1.4,9,0.4,17,6,167,34,86,667,23.3,34,836,0.7,49.805,603.9076923
0,0,0,0,0.7,17,0.4,34,6,167,34,43,334,36.6,67,418,0.7,37.448,1241.235504
0,0,0,0,7,8,1,22,9,249,61,13,464,2.17E+14,96,713,7,51.196,1257.980769
0,0,1,0,0,1,0.6,23,3,40,0,4,250,23,40,0,1.4,47.005,2109.677778
0,1,1,0,0,1,0.6,23,3,40,0,4,250,23,40,0,1.4,47.003,7557.644222
1,0,0,0,0.7,9,0.8,17,3,167,34,86,334,36.6,34,836,0.7,41.957,367.2083333
0,0,0,0,0.7,17,0.8,17,6,167,-33,43,667,23.3,34,418,1.4,47.285,2085.158021
0,0,1,0,1.4,17,0.4,34,6,84,-33,86,334,36.6,67,836,1.4,39.754,509.3030303
1,0,0,0,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,55.463,1966.925673
0,0,1,0,1.4,9,0.8,17,6,167,-33,86,667,23.3,34,418,0.7,47.077,2092.682927
0,0,0,1,0.7,9,0.8,34,6,84,34,86,667,36.6,34,836,1.4,41.421,455.94
0,0,1,0,1.4,9,0.8,17,6,84,34,43,667,36.6,34,836,1.4,41.823,406.8148148
0,0,0,0,0.7,9,0.4,17,3,84,34,86,667,36.6,34,418,0.7,37.415,988.095
0,1,0,1,1,3,0.6,51,3,40,100,4,250,23,40,0,1.4,47.103,7924.328125
0,0,1,0,1.4,17,0.4,17,6,84,34,43,667,23.3,34,418,0.7,45.737,1569.612903
1,0,0,0,1.4,17,0.8,17,6,84,34,43,667,36.6,34,418,1.4,39.714,1212.834722
0,0,1,1,1,3,0.6,23,3,40,0,4,1000,23,100,0,1.4,47.036,2142.944186
0,1,0,0,1.4,17,0.4,17,6,167,34,86,334,23.3,34,418,1.4,45.93,5320.214103
0,0,0,0,0.7,9,0.4,34,3,167,-33,43,334,36.6,34,836,1.4,39.008,485.6575758
0,0,0,1,1,25,0.6,23,9,40,0,4,250,23,40,0,1.4,47.111,3389.27787
0,0,0,1,0.7,17,0.4,34,6,167,34,43,334,36.6,34,836,1.4,40.23,496.7575758
1,0,0,0,1,25,0.6,23,3,40,100,4,250,23,40,0,1.4,47.963,2370.239716
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,2,47.177,7752.889892
1,0,0,0,1.4,9,0.4,34,6,84,-33,43,667,36.6,67,836,1.4,47.638,523.5757576
0,0,0,0,1.4,17,0.4,34,3,84,-33,86,334,23.3,67,418,0.7,45.907,1456.145731
0,0,0,1,1.4,9,0.8,34,3,167,-33,43,667,23.3,34,836,1.4,51.75,608.7076923
0,0,0,0,1.4,9,0.8,17,3,167,34,86,667,36.6,34,836,1.4,41.316,446.69
0,0,0,0,1.4,9,0.8,34,6,84,-33,43,667,23.3,67,836,0.7,51.189,724.5362963
1,0,0,0,0.7,9,0.8,34,3,167,34,86,667,23.3,67,418,1.4,47.522,1386.345679
1,0,0,0,0.7,9,0.8,34,6,167,-33,43,667,36.6,34,418,0.7,39.858,1372.125926
0,0,1,0,1.4,9,0.4,17,3,167,-33,86,334,36.6,34,418,1.4,37.411,1129.365217
1,0,0,1,2,3,0.6,23,3,40,0,4,250,23,40,0,1.4,48.367,2464
1,1,0,0,1,1,0.6,23,9,40,0,4,250,23,40,0,1.4,48.581,13644.47166
0,1,0,0,1,12,0.6,48,3,140,14,86,711,14,18,604,0.2,52.979,4535.797727
0,0,0,1,0.7,9,0.8,17,6,84,-33,43,334,36.6,34,418,1.4,38.774,1404.9
0,0,0,0,1.4,17,0.4,34,3,84,-33,43,334,23.3,67,836,1.4,50.116,552.112963
