Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,96.25,1.0,9.5,6134.81,497.92,0.347
1,96.25,2.0,9.5,7503.86,414.36,0.265
2,96.25,3.0,9.5,8416.0,374.89,0.21
3,96.25,4.0,9.5,8458.07,370.36,0.208
4,96.25,5.0,9.5,8376.51,372.93,0.213
5,96.25,6.0,9.5,8378.25,370.18,0.213
6,10000.0,1.0,9.5,302.46,8644.71,0.704
7,10000.0,2.0,9.5,318.36,8403.93,0.703
8,10000.0,3.0,9.5,322.44,8331.42,0.702
9,10000.0,4.0,9.5,333.86,7957.57,0.701
10,10000.0,5.0,9.5,353.89,7498.98,0.699
11,10000.0,6.0,9.5,374.12,7120.73,0.697
12,60000.0,1.0,9.5,188.36,46074.06,0.902
13,60000.0,2.0,9.5,194.88,45987.44,0.901
14,60000.0,3.0,9.5,189.32,41799.44,0.87
15,60000.0,4.0,9.5,217.54,36845.89,0.834
16,60000.0,5.0,9.5,223.44,38619.78,0.846
17,60000.0,6.0,9.5,246.21,34535.33,0.817
