Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18518.5,1.0,1.0,8032.27,10902.52,0.665
1,18518.5,1.0,3.0,15197.18,9435.25,0.582
2,18518.5,1.0,6.0,19343.75,5146.93,0.532
3,18518.5,1.0,9.0,19914.32,3612.84,0.525
4,18518.5,1.0,12.0,16959.63,7849.28,0.561
5,18518.5,1.0,15.0,17558.18,7761.37,0.554
6,18518.5,1.0,18.0,17527.53,7758.02,0.555
7,18518.5,2.0,1.0,7227.13,15694.45,0.678
8,18518.5,2.0,3.0,17202.77,7463.41,0.558
9,18518.5,2.0,6.0,21291.6,6585.71,0.511
10,18518.5,2.0,9.0,22823.77,5285.54,0.493
11,18518.5,2.0,12.0,25033.68,5565.14,0.468
12,18518.5,2.0,15.0,24834.87,5209.1,0.47
13,18518.5,2.0,18.0,24284.87,5396.22,0.476
14,18518.5,3.0,1.0,9525.63,5796.27,0.645
15,18518.5,3.0,3.0,15192.43,743.49,0.579
16,18518.5,3.0,6.0,16241.45,682.94,0.567
17,18518.5,3.0,9.0,17145.98,736.74,0.556
18,18518.5,3.0,12.0,17321.97,632.47,0.554
19,18518.5,3.0,15.0,18300.6,605.51,0.543
20,18518.5,3.0,18.0,17821.85,594.27,0.549
21,18518.5,6.0,1.0,14260.3,1525.13,0.59
22,18518.5,6.0,3.0,17644.0,729.66,0.551
23,18518.5,6.0,6.0,20876.35,388.9,0.514
24,18518.5,6.0,9.0,20654.82,424.2,0.516
25,18518.5,6.0,12.0,21363.17,383.05,0.508
26,18518.5,6.0,15.0,20794.63,355.52,0.515
27,18518.5,6.0,18.0,20902.52,375.56,0.513
