Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18518.5,1.0,9.5,45127.63,2809.66,0.393
1,18518.5,2.0,9.5,46395.79,2362.61,0.383
2,18518.5,3.0,9.5,42724.83,449.27,0.411
3,18518.5,4.0,9.5,39877.54,479.24,0.434
4,18518.5,5.0,9.5,39011.91,338.34,0.44
5,18518.5,6.0,9.5,37452.67,336.06,0.453
6,1000000.0,1.0,9.5,75115.61,55616.5,0.445
7,1000000.0,2.0,9.5,72510.94,40176.12,0.349
8,1000000.0,3.0,9.5,56933.61,2471.21,0.3
9,1000000.0,4.0,9.5,51475.72,2364.32,0.343
10,1000000.0,5.0,9.5,48482.11,917.63,0.366
11,1000000.0,6.0,9.5,46664.61,887.32,0.38
