Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18518.5,1.0,1.0,8814.28,15619.2,0.669
1,18518.5,1.0,3.0,16830.58,9055.16,0.58
2,18518.5,1.0,6.0,17493.9,8812.77,0.573
3,18518.5,1.0,9.0,17927.4,9039.79,0.569
4,18518.5,1.0,12.0,18558.57,8219.18,0.562
5,18518.5,1.0,15.0,18195.65,8696.63,0.566
6,18518.5,1.0,18.0,18416.4,8502.31,0.564
7,18518.5,2.0,1.0,8073.97,15355.93,0.676
8,18518.5,2.0,3.0,21282.53,6656.44,0.533
9,18518.5,2.0,6.0,25158.1,5659.26,0.492
10,18518.5,2.0,9.0,26669.15,5863.59,0.476
11,18518.5,2.0,12.0,27832.78,5412.61,0.464
12,18518.5,2.0,15.0,27719.37,5192.93,0.465
13,18518.5,2.0,18.0,27371.4,5392.42,0.469
14,18518.5,3.0,1.0,8877.1,13888.51,0.667
15,18518.5,3.0,3.0,16872.62,660.71,0.576
16,18518.5,3.0,6.0,18116.97,638.67,0.563
17,18518.5,3.0,9.0,18406.72,593.53,0.56
18,18518.5,3.0,12.0,18495.77,593.41,0.56
19,18518.5,3.0,15.0,18684.17,570.73,0.558
20,18518.5,3.0,18.0,18114.23,648.7,0.563
21,18518.5,6.0,1.0,9328.57,12267.77,0.66
22,18518.5,6.0,3.0,18745.68,718.37,0.557
23,18518.5,6.0,6.0,21317.1,407.6,0.53
24,18518.5,6.0,9.0,21501.02,308.51,0.528
25,18518.5,6.0,12.0,22728.32,304.18,0.516
26,18518.5,6.0,15.0,21966.45,331.96,0.523
27,18518.5,6.0,18.0,22493.8,351.73,0.518
