Cluster,Spout,Split,Count,Buffer_size,Heap,Throughput+,Latency-,d2h
0,1.0,1.0,2.0,4263000.0,512.0,10953.11,91.72,0.379
1,1.0,1.0,2.0,4263000.0,1024.0,10021.19,98.9,0.417
2,1.0,1.0,2.0,4263000.0,2048.0,10826.87,91.37,0.384
3,1.0,1.0,2.0,105000000.0,512.0,10921.9,91.02,0.38
4,1.0,1.0,2.0,105000000.0,1024.0,10808.93,92.62,0.385
5,1.0,1.0,2.0,105000000.0,2048.0,10621.53,93.98,0.393
6,1.0,1.0,6.0,4263000.0,512.0,14047.5,69.99,0.254
7,1.0,1.0,6.0,4263000.0,1024.0,13981.75,68.88,0.257
8,1.0,1.0,6.0,4263000.0,2048.0,13955.5,69.81,0.258
9,1.0,1.0,9.0,4263000.0,512.0,15013.25,64.66,0.216
10,1.0,1.0,9.0,4263000.0,1024.0,14643.25,65.79,0.231
11,1.0,1.0,9.0,4263000.0,2048.0,14346.25,69.29,0.243
12,1.0,1.0,12.0,4263000.0,512.0,15041.0,64.91,0.215
13,1.0,1.0,12.0,4263000.0,1024.0,14963.0,66.02,0.219
14,1.0,1.0,12.0,4263000.0,2048.0,14720.5,66.44,0.228
15,1.0,2.0,2.0,4263000.0,512.0,11138.0,94.33,0.374
16,1.0,2.0,2.0,4263000.0,1024.0,11164.48,93.49,0.372
17,1.0,2.0,2.0,4263000.0,2048.0,11134.22,93.33,0.373
18,1.0,2.0,2.0,105000000.0,512.0,11043.87,95.33,0.378
19,1.0,2.0,2.0,105000000.0,1024.0,11120.4,93.23,0.374
20,1.0,2.0,2.0,105000000.0,2048.0,11197.73,92.96,0.371
21,1.0,2.0,6.0,4263000.0,512.0,17109.75,57.58,0.135
22,1.0,2.0,6.0,4263000.0,1024.0,17328.25,56.45,0.126
23,1.0,2.0,6.0,4263000.0,2048.0,17117.25,57.81,0.135
24,1.0,2.0,9.0,4263000.0,512.0,19156.5,51.87,0.056
25,1.0,2.0,9.0,4263000.0,1024.0,19481.75,50.21,0.043
26,1.0,2.0,9.0,4263000.0,2048.0,19488.0,50.46,0.043
27,1.0,2.0,12.0,4263000.0,512.0,20404.5,48.13,0.007
28,1.0,2.0,12.0,4263000.0,1024.0,20154.25,48.81,0.017
29,1.0,2.0,12.0,4263000.0,2048.0,20163.25,50.9,0.018
30,1.0,3.0,2.0,4263000.0,512.0,10735.82,91.68,0.387
31,1.0,3.0,2.0,4263000.0,1024.0,10791.18,91.25,0.385
32,1.0,3.0,2.0,4263000.0,2048.0,10685.96,91.78,0.389
33,1.0,3.0,2.0,105000000.0,512.0,10817.63,91.8,0.384
34,1.0,3.0,2.0,105000000.0,1024.0,10965.13,91.08,0.379
35,1.0,3.0,2.0,105000000.0,2048.0,10803.73,93.35,0.386
36,1.0,3.0,6.0,4263000.0,512.0,12900.0,73.16,0.299
37,1.0,3.0,6.0,4263000.0,1024.0,12563.0,75.67,0.312
38,1.0,3.0,6.0,4263000.0,2048.0,12297.75,76.34,0.323
39,1.0,3.0,9.0,4263000.0,512.0,12617.0,74.16,0.31
40,1.0,3.0,9.0,4263000.0,1024.0,12609.25,74.96,0.31
41,1.0,3.0,9.0,4263000.0,2048.0,12768.75,73.43,0.304
42,1.0,3.0,12.0,4263000.0,512.0,13003.5,71.57,0.294
43,1.0,3.0,12.0,4263000.0,1024.0,12868.75,73.39,0.3
44,1.0,3.0,12.0,4263000.0,2048.0,12741.75,74.51,0.305
45,1.0,6.0,2.0,4263000.0,512.0,11019.27,90.09,0.376
46,1.0,6.0,2.0,4263000.0,1024.0,10887.2,90.81,0.381
47,1.0,6.0,2.0,4263000.0,2048.0,10848.46,90.26,0.382
48,1.0,6.0,2.0,105000000.0,512.0,10827.43,90.44,0.383
49,1.0,6.0,2.0,105000000.0,1024.0,10892.6,89.11,0.38
50,1.0,6.0,2.0,105000000.0,2048.0,11034.2,89.61,0.375
51,1.0,6.0,6.0,4263000.0,512.0,13000.5,72.91,0.295
52,1.0,6.0,6.0,4263000.0,1024.0,13024.0,73.2,0.294
53,1.0,6.0,6.0,4263000.0,2048.0,13058.75,72.25,0.293
54,1.0,6.0,9.0,4263000.0,512.0,13294.5,71.97,0.284
55,1.0,6.0,9.0,4263000.0,1024.0,13190.75,71.8,0.287
56,1.0,6.0,9.0,4263000.0,2048.0,13769.0,69.18,0.265
57,1.0,6.0,12.0,4263000.0,512.0,13625.5,69.74,0.27
58,1.0,6.0,12.0,4263000.0,1024.0,13920.25,68.02,0.259
59,1.0,6.0,12.0,4263000.0,2048.0,13929.5,67.49,0.258
60,2.0,1.0,2.0,4263000.0,512.0,10561.98,197.97,0.486
61,2.0,1.0,2.0,4263000.0,1024.0,10565.48,197.79,0.485
62,2.0,1.0,2.0,4263000.0,2048.0,10665.1,194.99,0.479
63,2.0,1.0,2.0,105000000.0,512.0,10638.43,196.16,0.481
64,2.0,1.0,2.0,105000000.0,1024.0,10587.47,193.93,0.48
65,2.0,1.0,2.0,105000000.0,2048.0,10752.17,193.12,0.474
66,2.0,1.0,6.0,4263000.0,512.0,13122.75,153.93,0.355
67,2.0,1.0,6.0,4263000.0,1024.0,12811.25,152.37,0.363
68,2.0,1.0,6.0,4263000.0,2048.0,12858.5,153.49,0.363
69,2.0,1.0,9.0,4263000.0,512.0,13471.25,145.56,0.334
70,2.0,1.0,9.0,4263000.0,1024.0,13828.25,142.91,0.32
71,2.0,1.0,9.0,4263000.0,2048.0,13718.0,144.26,0.325
72,2.0,1.0,12.0,4263000.0,512.0,13875.25,142.44,0.318
73,2.0,1.0,12.0,4263000.0,1024.0,13983.5,140.19,0.312
74,2.0,1.0,12.0,4263000.0,2048.0,13913.25,140.75,0.315
75,2.0,2.0,2.0,4263000.0,512.0,11045.35,190.52,0.462
76,2.0,2.0,2.0,4263000.0,1024.0,11001.67,190.8,0.464
77,2.0,2.0,2.0,4263000.0,2048.0,11056.16,188.19,0.459
78,2.0,2.0,2.0,105000000.0,512.0,11176.2,188.55,0.456
79,2.0,2.0,2.0,105000000.0,1024.0,11173.27,187.99,0.455
80,2.0,2.0,2.0,105000000.0,2048.0,10916.4,188.65,0.464
81,2.0,2.0,6.0,4263000.0,512.0,12891.25,152.35,0.36
82,2.0,2.0,6.0,4263000.0,1024.0,13153.0,152.2,0.352
83,2.0,2.0,6.0,4263000.0,2048.0,13039.25,151.05,0.354
84,2.0,2.0,9.0,4263000.0,512.0,14103.25,143.49,0.313
85,2.0,2.0,9.0,4263000.0,1024.0,13696.5,145.87,0.328
86,2.0,2.0,9.0,4263000.0,2048.0,13746.0,144.29,0.324
87,2.0,2.0,12.0,4263000.0,512.0,14372.75,141.6,0.302
88,2.0,2.0,12.0,4263000.0,1024.0,14250.25,142.17,0.307
89,2.0,2.0,12.0,4263000.0,2048.0,14332.5,138.25,0.299
90,2.0,3.0,2.0,4263000.0,512.0,10956.78,182.31,0.455
91,2.0,3.0,2.0,4263000.0,1024.0,10969.73,181.85,0.454
92,2.0,3.0,2.0,4263000.0,2048.0,10949.12,182.6,0.456
93,2.0,3.0,2.0,105000000.0,512.0,10824.2,184.71,0.462
94,2.0,3.0,2.0,105000000.0,1024.0,11006.8,183.08,0.454
95,2.0,3.0,2.0,105000000.0,2048.0,10900.33,182.25,0.457
96,2.0,3.0,6.0,4263000.0,512.0,12681.0,152.46,0.367
97,2.0,3.0,6.0,4263000.0,1024.0,12927.0,153.53,0.361
98,2.0,3.0,6.0,4263000.0,2048.0,13014.75,154.1,0.359
99,2.0,3.0,9.0,4263000.0,512.0,13815.25,141.56,0.319
100,2.0,3.0,9.0,4263000.0,1024.0,14058.25,139.79,0.31
101,2.0,3.0,9.0,4263000.0,2048.0,13830.75,144.05,0.322
102,2.0,3.0,12.0,4263000.0,512.0,14378.75,137.06,0.297
103,2.0,3.0,12.0,4263000.0,1024.0,14722.0,133.45,0.282
104,2.0,3.0,12.0,4263000.0,2048.0,14368.5,135.67,0.295
105,2.0,6.0,2.0,4263000.0,512.0,11076.49,177.8,0.446
106,2.0,6.0,2.0,4263000.0,1024.0,11068.01,179.46,0.448
107,2.0,6.0,2.0,4263000.0,2048.0,11101.54,177.83,0.445
108,2.0,6.0,2.0,105000000.0,512.0,11081.67,176.07,0.444
109,2.0,6.0,2.0,105000000.0,1024.0,11176.57,179.65,0.445
110,2.0,6.0,2.0,105000000.0,2048.0,11013.4,177.84,0.448
111,2.0,6.0,6.0,4263000.0,512.0,12962.25,152.63,0.358
112,2.0,6.0,6.0,4263000.0,1024.0,13065.0,147.92,0.35
113,2.0,6.0,6.0,4263000.0,2048.0,13100.5,148.53,0.349
114,2.0,6.0,9.0,4263000.0,512.0,14279.0,141.67,0.305
115,2.0,6.0,9.0,4263000.0,1024.0,14430.75,138.4,0.297
116,2.0,6.0,9.0,4263000.0,2048.0,14404.5,136.95,0.296
117,2.0,6.0,12.0,4263000.0,512.0,15391.5,130.21,0.258
118,2.0,6.0,12.0,4263000.0,1024.0,15523.5,126.78,0.249
119,2.0,6.0,12.0,4263000.0,2048.0,15143.5,131.08,0.266
120,3.0,1.0,2.0,4263000.0,512.0,10327.88,304.9,0.643
121,3.0,1.0,2.0,4263000.0,1024.0,10354.38,303.59,0.64
122,3.0,1.0,2.0,4263000.0,2048.0,10389.81,304.16,0.64
123,3.0,1.0,2.0,105000000.0,512.0,10406.13,301.26,0.635
124,3.0,1.0,2.0,105000000.0,1024.0,10405.37,300.92,0.635
125,3.0,1.0,2.0,105000000.0,2048.0,10267.83,308.88,0.65
126,3.0,1.0,6.0,4263000.0,512.0,11935.75,252.14,0.523
127,3.0,1.0,6.0,4263000.0,1024.0,11807.75,253.79,0.528
128,3.0,1.0,6.0,4263000.0,2048.0,12131.5,249.92,0.515
129,3.0,1.0,9.0,4263000.0,512.0,12243.25,246.47,0.507
130,3.0,1.0,9.0,4263000.0,1024.0,12318.5,243.94,0.501
131,3.0,1.0,9.0,4263000.0,2048.0,12368.25,242.03,0.497
132,3.0,1.0,12.0,4263000.0,512.0,12418.0,239.56,0.492
133,3.0,1.0,12.0,4263000.0,1024.0,12494.5,243.66,0.496
134,3.0,1.0,12.0,4263000.0,2048.0,12427.0,241.35,0.494
135,3.0,2.0,2.0,4263000.0,512.0,10786.48,292.54,0.613
136,3.0,2.0,2.0,4263000.0,1024.0,10743.92,294.53,0.617
137,3.0,2.0,2.0,4263000.0,2048.0,10779.22,293.51,0.614
138,3.0,2.0,2.0,105000000.0,512.0,10636.53,293.26,0.617
139,3.0,2.0,2.0,105000000.0,1024.0,10728.97,301.1,0.627
140,3.0,2.0,2.0,105000000.0,2048.0,10599.37,293.56,0.619
141,3.0,2.0,6.0,4263000.0,512.0,14104.5,212.06,0.409
142,3.0,2.0,6.0,4263000.0,1024.0,14144.5,211.99,0.408
143,3.0,2.0,6.0,4263000.0,2048.0,14039.75,218.08,0.42
144,3.0,2.0,9.0,4263000.0,512.0,15152.75,204.36,0.373
145,3.0,2.0,9.0,4263000.0,1024.0,15336.0,198.87,0.36
146,3.0,2.0,9.0,4263000.0,2048.0,15149.5,201.3,0.368
