Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,1.0,370.0,8.25,47.75,1033333.33,5500.0,37975.24,673.89,0.592
1,1.0,370.0,8.25,47.75,1033333.33,100000.0,35270.62,1736.13,0.601
2,1.0,370.0,8.25,47.75,10000000.0,5500.0,34355.73,709.06,0.603
3,1.0,370.0,8.25,47.75,10000000.0,100000.0,31992.24,1817.79,0.611
4,1.0,370.0,8.25,300.0,1033333.33,5500.0,37851.25,678.61,0.592
5,1.0,370.0,8.25,300.0,1033333.33,100000.0,34686.04,1668.94,0.603
6,1.0,370.0,8.25,300.0,10000000.0,5500.0,36517.11,726.04,0.596
7,1.0,370.0,8.25,300.0,10000000.0,100000.0,33193.25,1425.89,0.607
8,1.0,10000.0,8.25,47.75,1033333.33,5500.0,111763.29,6501.52,0.39
9,1.0,10000.0,8.25,47.75,1033333.33,100000.0,110805.5,7304.36,0.398
10,1.0,10000.0,8.25,47.75,10000000.0,5500.0,100635.19,6767.46,0.424
11,1.0,10000.0,8.25,47.75,10000000.0,100000.0,100662.42,7577.34,0.429
12,1.0,10000.0,8.25,300.0,1033333.33,5500.0,113791.48,6648.15,0.385
13,1.0,10000.0,8.25,300.0,1033333.33,100000.0,111778.09,7618.34,0.398
14,1.0,10000.0,8.25,300.0,10000000.0,5500.0,108118.27,6890.34,0.403
15,1.0,10000.0,8.25,300.0,10000000.0,100000.0,112003.39,7781.47,0.399
16,3.0,370.0,8.25,47.75,1033333.33,5500.0,48590.36,997.74,0.56
17,3.0,370.0,8.25,47.75,1033333.33,100000.0,45521.35,2784.87,0.571
18,3.0,370.0,8.25,47.75,10000000.0,5500.0,45332.29,1042.35,0.57
19,3.0,370.0,8.25,47.75,10000000.0,100000.0,42528.51,2942.96,0.581
20,3.0,370.0,8.25,300.0,1033333.33,5500.0,48810.93,976.89,0.559
21,3.0,370.0,8.25,300.0,1033333.33,100000.0,45275.49,2824.28,0.572
22,3.0,370.0,8.25,300.0,10000000.0,5500.0,46247.97,998.4,0.567
23,3.0,370.0,8.25,300.0,10000000.0,100000.0,43409.59,2810.84,0.578
24,3.0,10000.0,8.25,47.75,1033333.33,5500.0,158033.39,4727.91,0.245
25,3.0,10000.0,8.25,47.75,1033333.33,100000.0,155315.24,4164.36,0.249
26,3.0,10000.0,8.25,47.75,10000000.0,5500.0,148892.16,4912.03,0.272
27,3.0,10000.0,8.25,47.75,10000000.0,100000.0,147547.98,4202.42,0.271
28,3.0,10000.0,8.25,300.0,1033333.33,5500.0,159392.41,4752.08,0.242
29,3.0,10000.0,8.25,300.0,1033333.33,100000.0,159897.48,4209.87,0.236
30,3.0,10000.0,8.25,300.0,10000000.0,5500.0,159521.69,4737.72,0.241
31,3.0,10000.0,8.25,300.0,10000000.0,100000.0,155419.31,4275.73,0.249
