Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,0.0,0.02,0.03,0.2,0.21,0.05,8444.05,182.44,0.536
1,0.0,0.02,0.03,0.2,0.21,1.0,8443.35,184.24,0.536
2,0.0,0.02,0.03,0.2,1.0,0.05,10134.85,133.98,0.502
3,0.0,0.02,0.03,0.2,1.0,1.0,10177.32,134.11,0.501
4,0.0,0.02,0.03,1.0,0.21,0.05,8579.13,171.44,0.534
5,0.0,0.02,0.03,1.0,0.21,1.0,8601.65,170.93,0.533
6,0.0,0.02,0.03,1.0,1.0,0.05,10176.11,126.11,0.501
7,0.0,0.02,0.03,1.0,1.0,1.0,10068.43,123.53,0.503
8,0.0,0.02,1.0,0.2,0.21,0.05,4787.1,240.78,0.611
9,0.0,0.02,1.0,0.2,0.21,1.0,4756.6,240.75,0.612
10,0.0,0.02,1.0,0.2,1.0,0.05,5499.8,198.32,0.596
11,0.0,0.02,1.0,0.2,1.0,1.0,5602.73,197.38,0.594
12,0.0,0.02,1.0,1.0,0.21,0.05,4757.18,228.68,0.612
13,0.0,0.02,1.0,1.0,0.21,1.0,4716.86,225.44,0.612
14,0.0,0.02,1.0,1.0,1.0,0.05,5343.66,183.03,0.6
15,0.0,0.02,1.0,1.0,1.0,1.0,5300.02,193.29,0.6
16,0.0,1.0,0.03,0.2,0.21,0.05,14375.25,10987.28,0.439
17,0.0,1.0,0.03,0.2,0.21,1.0,14312.0,10954.45,0.44
18,0.0,1.0,0.03,0.2,1.0,0.05,23232.0,5136.53,0.244
19,0.0,1.0,0.03,0.2,1.0,1.0,24295.33,5163.33,0.223
20,0.0,1.0,0.03,1.0,0.21,0.05,18693.75,7560.71,0.341
21,0.0,1.0,0.03,1.0,0.21,1.0,18861.12,8002.09,0.34
22,0.0,1.0,0.03,1.0,1.0,0.05,26484.0,3581.62,0.175
23,0.0,1.0,1.0,0.2,0.21,0.05,15626.87,10085.89,0.411
24,0.0,1.0,1.0,0.2,0.21,1.0,15043.87,10670.03,0.424
25,0.0,1.0,1.0,0.2,1.0,0.05,24171.17,4329.35,0.223
26,0.0,1.0,1.0,1.0,0.21,0.05,19525.3,6616.8,0.322
27,1.0,0.02,0.03,0.2,0.21,0.05,10715.91,970.64,0.49
28,1.0,0.02,0.03,0.2,0.21,1.0,10747.57,969.94,0.49
29,1.0,0.02,0.03,0.2,1.0,0.05,13915.11,397.14,0.425
30,1.0,0.02,0.03,0.2,1.0,1.0,13931.77,386.17,0.424
31,1.0,0.02,0.03,1.0,0.21,0.05,11604.99,1313.07,0.472
32,1.0,0.02,0.03,1.0,0.21,1.0,11718.2,1250.23,0.47
33,1.0,0.02,0.03,1.0,1.0,0.05,15893.27,447.27,0.384
34,1.0,0.02,0.03,1.0,1.0,1.0,16207.27,429.3,0.378
35,1.0,0.02,1.0,0.2,0.21,0.05,6685.08,789.79,0.572
36,1.0,0.02,1.0,0.2,0.21,1.0,6931.01,743.0,0.567
37,1.0,0.02,1.0,0.2,1.0,0.05,9562.87,403.07,0.514
38,1.0,0.02,1.0,0.2,1.0,1.0,9581.96,386.73,0.513
39,1.0,0.02,1.0,1.0,0.21,0.05,7112.69,1199.64,0.564
40,1.0,0.02,1.0,1.0,0.21,1.0,7056.14,1067.28,0.565
41,1.0,0.02,1.0,1.0,1.0,0.05,10742.86,396.17,0.489
42,1.0,0.02,1.0,1.0,1.0,1.0,11069.26,472.87,0.483
43,1.0,1.0,0.03,0.2,0.21,0.05,7913.72,35686.06,0.713
44,1.0,1.0,0.03,0.2,0.21,1.0,8083.34,36924.19,0.721
45,1.0,1.0,0.03,0.2,1.0,0.05,11634.12,31593.58,0.621
46,1.0,1.0,0.03,0.2,1.0,1.0,12818.35,31918.0,0.606
47,1.0,1.0,0.03,1.0,0.21,0.05,7508.55,40601.67,0.761
48,1.0,1.0,0.03,1.0,0.21,1.0,7316.05,41469.92,0.771
49,1.0,1.0,0.03,1.0,1.0,0.05,9136.6,30613.88,0.653
50,1.0,1.0,1.0,0.2,0.21,0.05,8635.74,34945.89,0.696
51,1.0,1.0,1.0,0.2,0.21,1.0,9071.57,34754.0,0.687
52,1.0,1.0,1.0,0.2,1.0,0.05,12257.28,30282.33,0.601
53,1.0,1.0,1.0,1.0,0.21,0.05,7863.27,37624.17,0.73
