Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,1.0,0.0,0.0,1.05,12.43,0.6,25.4,4.4,120.41,0.58,60.93,488.8,26218487424.62,49.98,584.51,1.07,43.91,3310.18,0.265
1,0.0,1.0,0.0,0.0,1.01,3.15,0.58,21.51,2.85,247.1,2.56,3.59,241.54,25.1,41.82,0.0,1.33,44.71,7277.41,0.36
2,0.0,1.0,0.0,0.0,0.98,24.94,0.6,21.23,2.87,38.65,1.45,3.74,234.06,24.69,36.58,0.0,1.31,44.79,6873.64,0.35
3,0.0,1.0,0.0,0.0,1.0,2.88,0.59,21.65,2.82,37.71,0.0,3.76,235.35,23.82,100.0,0.0,1.35,45.51,7561.39,0.372
4,0.0,1.0,0.0,0.0,1.0,2.88,0.59,21.65,9.0,37.71,0.0,3.76,235.35,23.82,37.71,0.0,1.35,45.4,10874.54,0.469
5,0.0,1.0,0.0,0.0,0.9,23.0,0.64,22.8,3.6,250.0,-0.2,12.2,150.6,30.56,38.0,0.0,1.04,38.84,4027.37,0.243
6,0.0,1.0,0.0,0.0,0.8,2.0,0.6,23.5,9.0,230.5,-17.0,12.5,208.5,26.55,52.5,52.25,1.15,46.01,8902.63,0.413
7,0.0,1.0,0.0,0.0,1.12,25.0,0.45,21.25,3.5,20.5,-100.0,18.0,250.5,31.5,33.0,0.0,1.32,40.48,6184.79,0.307
8,0.0,1.0,0.0,0.0,1.17,25.0,0.6,19.67,3.33,47.67,0.0,13.33,333.67,18.67,92.0,0.0,0.93,47.3,6532.11,0.356
9,0.0,0.0,0.0,1.0,1.05,12.44,0.6,25.39,4.4,120.36,0.6,60.92,488.89,26227303324.88,49.97,584.5,1.07,43.91,1050.67,0.239
10,0.0,0.0,0.0,1.0,1.0,2.88,0.59,21.65,2.82,37.71,0.0,3.76,235.35,23.82,100.0,0.0,1.35,45.52,2173.89,0.261
11,0.0,0.0,0.0,1.0,0.98,24.94,0.6,21.23,2.87,38.65,1.45,3.74,234.06,24.69,36.58,0.0,1.31,44.79,1992.84,0.254
12,0.0,1.0,0.0,0.0,1.3,23.67,0.73,24.0,3.33,50.33,1.33,2.67,961.67,21.8,40.0,0.0,1.6,48.19,6105.69,0.352
13,0.0,0.0,0.0,1.0,1.01,3.06,0.59,21.28,2.86,247.92,3.94,4.0,229.89,24.98,36.81,4.5,1.3,44.68,2469.37,0.258
14,0.0,0.0,0.0,1.0,0.9,23.0,0.64,22.8,3.6,250.0,-0.2,12.2,150.6,30.56,38.0,0.0,1.04,38.84,1266.49,0.198
15,0.0,0.0,0.0,1.0,0.8,2.0,0.6,23.5,9.0,230.5,-17.0,12.5,208.5,26.55,52.5,52.25,1.15,46.01,3039.78,0.277
16,0.0,0.0,0.0,1.0,1.0,2.88,0.59,21.65,9.0,37.71,0.0,3.76,235.35,23.82,37.71,0.0,1.35,45.4,3480.8,0.279
17,0.0,0.0,0.0,1.0,1.0,4.33,0.53,24.0,2.67,229.0,0.0,2.67,333.67,32.0,92.0,0.0,1.43,41.18,2040.24,0.225
18,0.0,0.0,0.0,1.0,1.3,23.67,0.73,24.0,3.33,50.33,1.33,2.67,961.67,21.8,40.0,0.0,1.6,48.19,1743.96,0.279
19,0.0,0.0,0.0,1.0,1.17,25.0,0.6,19.67,3.33,47.67,0.0,13.33,333.67,18.67,92.0,0.0,0.93,47.33,1867.21,0.273
20,0.0,0.0,1.0,0.0,1.05,12.44,0.6,25.4,4.4,120.32,0.6,60.9,488.78,26215550108.08,49.96,584.24,1.07,43.91,1041.26,0.239
21,0.0,0.0,1.0,0.0,1.01,3.06,0.59,21.28,2.86,247.92,3.94,4.0,229.89,24.98,36.81,4.5,1.3,44.68,2451.24,0.258
22,0.0,0.0,1.0,0.0,0.9,23.0,0.64,22.8,3.6,250.0,-0.2,12.2,150.6,30.56,38.0,0.0,1.04,38.89,1269.14,0.199
23,0.0,0.0,1.0,0.0,0.99,24.95,0.58,21.32,2.95,36.76,-4.19,5.3,236.7,25.34,36.38,0.0,1.32,44.46,1960.56,0.251
24,0.0,0.0,1.0,0.0,0.8,2.0,0.6,23.5,9.0,230.5,-17.0,12.5,208.5,26.55,52.5,52.25,1.15,45.94,3004.19,0.276
25,0.0,0.0,1.0,0.0,1.0,2.88,0.59,21.65,9.0,37.71,0.0,3.76,235.35,23.82,37.71,0.0,1.35,45.39,3444.32,0.278
26,0.0,0.0,1.0,0.0,1.0,2.88,0.59,21.65,2.82,37.71,0.0,3.76,235.35,23.82,100.0,0.0,1.35,45.51,2166.76,0.261
27,0.0,0.0,1.0,0.0,1.0,4.33,0.53,24.0,2.67,229.0,0.0,2.67,333.67,32.0,92.0,0.0,1.43,41.36,2030.54,0.227
28,0.0,0.0,0.0,1.0,1.12,25.0,0.45,21.25,3.5,20.5,-100.0,18.0,250.5,31.5,33.0,0.0,1.32,40.49,1788.56,0.217
29,0.0,0.0,0.0,0.0,1.05,12.48,0.6,25.41,4.42,119.75,0.57,60.67,487.99,47341664931.3,49.85,578.38,1.08,44.1,1076.45,0.24
30,0.0,0.0,0.0,0.0,1.01,3.06,0.59,21.28,2.86,247.92,3.94,4.0,229.89,24.98,36.81,4.5,1.3,44.68,2467.83,0.258
31,0.0,0.0,0.0,0.0,0.95,3.0,0.7,25.25,4.25,230.75,-25.25,2.75,870.0,29.1,38.25,38.75,1.45,44.09,1964.35,0.248
32,0.0,0.0,1.0,0.0,1.17,25.0,0.6,19.67,3.33,47.67,0.0,13.33,333.67,18.67,92.0,0.0,0.93,47.75,1849.57,0.276
33,0.0,0.0,1.0,0.0,1.3,23.67,0.73,24.0,3.33,50.33,1.33,2.67,961.67,21.8,40.0,0.0,1.6,48.11,1698.72,0.278
34,0.0,0.0,0.0,0.0,0.8,5.75,0.53,20.75,2.0,222.0,-2.25,6.5,393.5,35.9,92.0,18.0,1.3,44.57,2101.12,0.253
35,0.0,0.0,0.0,0.0,1.01,2.78,0.59,22.17,2.75,36.5,-0.28,6.67,245.03,23.54,98.75,7.14,1.35,45.33,2116.72,0.259
36,0.0,0.0,0.0,0.0,1.17,25.0,0.6,19.67,3.33,47.67,0.0,13.33,333.67,18.67,92.0,0.0,0.93,47.33,1864.54,0.273
37,0.0,0.0,0.0,0.0,1.1,6.75,0.35,13.5,2.25,32.75,7.25,3.5,918.5,25.45,99.25,50.25,1.53,47.85,1733.62,0.276
38,1.0,0.0,0.0,0.0,1.0,2.88,0.59,21.65,2.82,37.71,0.0,3.76,235.35,23.82,100.0,0.0,1.35,47.49,2388.78,0.28
39,1.0,0.0,0.0,0.0,1.05,12.44,0.6,25.4,4.4,120.32,0.6,60.9,488.78,26215550108.08,49.96,584.24,1.07,46.6,1063.88,0.261
40,1.0,0.0,0.0,0.0,0.99,24.95,0.58,21.32,2.95,36.76,-4.19,5.3,236.7,25.34,36.38,0.0,1.32,46.4,2186.97,0.269
41,1.0,0.0,0.0,0.0,1.0,2.88,0.59,21.65,9.0,37.71,0.0,3.76,235.35,23.82,37.71,0.0,1.35,47.32,3863.78,0.3
42,1.0,0.0,0.0,0.0,1.01,3.06,0.59,21.28,2.86,247.92,3.94,4.0,229.89,24.98,36.81,4.5,1.3,46.49,2230.1,0.27
43,1.0,0.0,0.0,0.0,1.0,4.33,0.53,24.0,2.67,229.0,0.0,2.67,333.67,32.0,92.0,0.0,1.43,43.24,1799.08,0.239
44,1.0,0.0,0.0,0.0,0.9,23.0,0.64,22.8,3.6,250.0,-0.2,12.2,150.6,30.56,38.0,0.0,1.04,39.34,1177.68,0.202
45,1.0,0.0,0.0,0.0,0.8,2.0,0.6,23.5,9.0,230.5,-17.0,12.5,208.5,26.55,52.5,52.25,1.15,47.14,3037.96,0.285
46,0.0,0.0,0.0,0.0,0.75,3.25,0.42,16.5,4.0,239.25,-19.75,122.25,326.0,24.95,53.25,11.5,1.0,48.96,2361.3,0.291
47,0.0,0.0,0.0,0.0,1.03,3.06,0.59,21.44,2.62,39.69,1.0,126.62,224.06,23.9,37.41,0.0,1.32,45.21,1845.71,0.256
48,1.0,0.0,0.0,0.0,1.3,23.67,0.73,24.0,3.33,50.33,1.33,2.67,961.67,21.8,40.0,0.0,1.6,49.04,1900.25,0.287
49,1.0,0.0,0.0,0.0,1.17,25.0,0.6,19.67,3.33,47.67,0.0,13.33,333.67,18.67,92.0,0.0,0.93,48.83,2056.52,0.287
50,0.0,0.0,0.0,0.0,1.33,2.33,0.53,28.33,2.67,27.0,100.0,128.0,167.0,18.67,43.67,0.0,1.6,49.04,1517.16,0.284
51,0.0,0.0,0.0,0.0,1.17,2.33,0.67,26.0,3.33,55.0,21.67,128.0,1000.0,27.6,43.0,0.0,1.33,44.49,1543.15,0.247
52,0.0,0.0,0.0,0.0,0.67,2.33,0.4,24.0,3.33,47.67,-16.67,128.0,250.33,22.0,100.0,0.0,1.27,46.75,1679.12,0.267
53,0.0,1.0,0.0,1.0,0.99,2.84,0.57,19.44,2.61,35.57,1.78,4.77,215.67,23.15,35.08,0.0,1.29,44.74,6559.81,0.341
54,0.0,1.0,0.0,1.0,1.0,2.85,0.58,21.23,2.77,250.0,-7.69,4.0,230.85,23.0,37.0,0.0,1.34,45.73,8640.03,0.404
55,0.0,1.0,0.0,1.0,0.97,2.73,0.59,51.0,2.73,38.93,0.0,3.73,233.47,22.8,38.13,0.0,1.35,45.94,6908.42,0.357
56,0.0,1.0,0.0,1.0,1.0,2.86,0.59,21.36,9.0,37.21,0.0,4.0,232.21,23.0,37.21,0.0,1.34,45.75,10877.83,0.471
57,0.0,1.0,0.0,1.0,0.95,24.87,0.57,21.07,2.87,37.2,-10.33,5.87,233.73,26.43,34.6,0.0,1.25,43.42,6314.37,0.327
58,0.0,1.0,0.0,1.0,1.0,2.86,0.59,21.36,2.79,37.21,0.0,4.0,232.21,23.0,100.0,0.0,1.34,45.85,7503.08,0.373
59,0.0,1.0,0.0,1.0,0.91,3.32,0.56,19.89,2.95,44.16,-2.74,13.42,974.84,22.74,41.68,0.0,1.29,45.64,6216.5,0.338
60,0.0,1.0,0.0,1.0,0.88,22.5,0.65,22.75,3.75,250.0,-0.25,14.25,125.75,32.45,37.5,0.0,0.95,36.78,3195.8,0.211
61,0.0,1.0,0.0,1.0,0.73,1.67,0.6,23.67,9.0,224.0,-22.67,15.33,194.67,27.73,56.67,69.67,1.07,45.64,8380.26,0.396
62,0.0,1.0,1.0,0.0,1.01,3.27,0.59,20.47,2.87,250.0,6.67,3.73,227.87,24.8,36.93,0.0,1.25,44.49,8133.64,0.383
63,0.0,1.0,1.0,0.0,0.99,2.84,0.57,19.44,2.61,35.57,1.78,4.77,215.67,23.15,35.08,0.0,1.29,44.75,6454.38,0.339
64,0.0,1.0,1.0,0.0,1.0,2.86,0.59,21.36,2.79,37.21,0.0,4.0,232.21,23.0,100.0,0.0,1.34,45.83,7385.12,0.369
65,0.0,1.0,1.0,0.0,0.91,3.32,0.56,19.89,2.95,44.16,-2.74,13.42,974.84,22.74,41.68,0.0,1.29,45.6,6121.81,0.336
66,0.0,1.0,1.0,0.0,0.96,24.88,0.57,21.19,2.87,37.38,-3.44,5.75,234.75,26.22,34.94,0.0,1.26,43.68,6300.61,0.328
67,0.0,1.0,1.0,0.0,1.0,2.86,0.59,21.36,9.0,37.21,0.0,4.0,232.21,23.0,37.21,0.0,1.34,45.71,10716.57,0.465
68,0.0,1.0,1.0,0.0,0.97,2.73,0.59,51.0,2.73,38.93,0.0,3.73,233.47,22.8,38.13,0.0,1.35,45.91,6806.04,0.355
69,0.0,1.0,1.0,0.0,0.88,22.5,0.65,22.75,3.75,250.0,-0.25,14.25,125.75,32.45,37.5,0.0,0.95,36.86,3131.98,0.21
70,0.0,1.0,1.0,0.0,0.73,1.67,0.6,23.67,9.0,224.0,-22.67,15.33,194.67,27.73,56.67,69.67,1.07,45.58,8242.54,0.392
71,1.0,1.0,0.0,0.0,0.99,2.84,0.57,19.44,2.61,35.57,1.78,4.77,215.67,23.15,35.08,0.0,1.29,47.04,7513.48,0.38
72,1.0,1.0,0.0,0.0,1.01,3.27,0.59,20.47,2.87,250.0,6.67,3.73,227.87,24.8,36.93,0.0,1.25,46.29,7754.51,0.382
73,1.0,1.0,0.0,0.0,0.97,2.73,0.59,51.0,2.73,38.93,0.0,3.73,233.47,22.8,38.13,0.0,1.35,47.87,7851.58,0.394
74,1.0,1.0,0.0,0.0,1.0,2.86,0.59,21.36,9.0,37.21,0.0,4.0,232.21,23.0,37.21,0.0,1.34,47.71,12791.61,0.539
75,1.0,1.0,0.0,0.0,0.73,1.67,0.6,23.67,9.0,224.0,-22.67,15.33,194.67,27.73,56.67,69.67,1.07,46.72,8635.33,0.409
76,1.0,1.0,0.0,0.0,0.91,3.32,0.56,19.89,2.95,44.16,-2.74,13.42,974.84,22.74,41.68,0.0,1.29,48.04,7157.91,0.376
77,1.0,1.0,0.0,0.0,0.96,24.88,0.57,21.19,2.87,37.38,-3.44,5.75,234.75,26.22,34.94,0.0,1.26,45.8,7237.2,0.365
78,1.0,1.0,0.0,0.0,0.88,22.5,0.65,22.75,3.75,250.0,-0.25,14.25,125.75,32.45,37.5,0.0,0.95,37.09,3058.39,0.21
79,1.0,1.0,0.0,0.0,1.0,2.86,0.59,21.36,2.79,37.21,0.0,4.0,232.21,23.0,100.0,0.0,1.34,47.87,8451.05,0.41
80,0.0,1.0,0.0,0.0,1.05,3.0,0.58,22.03,2.63,38.6,3.77,126.74,219.17,23.05,37.94,0.0,1.35,45.81,6214.93,0.339
81,0.0,0.0,1.0,1.0,0.97,2.73,0.59,51.0,2.73,38.93,0.0,3.73,233.47,22.8,38.13,0.0,1.35,45.93,1960.06,0.263
82,0.0,0.0,1.0,1.0,1.01,3.27,0.59,20.47,2.87,250.0,6.67,3.73,227.87,24.8,36.93,0.0,1.25,44.5,2366.06,0.256
83,0.0,0.0,1.0,1.0,0.99,2.84,0.57,19.44,2.61,35.57,1.78,4.77,215.67,23.15,35.08,0.0,1.29,44.77,1881.21,0.252
84,0.0,0.0,1.0,1.0,0.96,24.88,0.57,21.19,2.87,37.38,-3.44,5.75,234.75,26.22,34.94,0.0,1.26,43.69,1827.02,0.243
85,0.0,0.0,1.0,1.0,1.0,2.86,0.59,21.36,9.0,37.21,0.0,4.0,232.21,23.0,37.21,0.0,1.34,45.73,3441.44,0.281
