Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,115.26,6.0,7.16,15823.42,259.84,0.22
1,108.41,4.0,13.91,18137.8,235.93,0.15
2,117.96,2.0,7.67,14405.67,288.4,0.26
3,91.17,3.0,12.69,18181.6,222.91,0.15
4,84.73,1.0,9.61,13353.69,284.57,0.3
5,83.47,6.0,15.73,19501.42,216.34,0.1
6,77.93,5.0,14.21,19004.51,224.99,0.12
7,222.4,5.0,9.8,15464.28,294.14,0.23
8,4.5,6.0,1.25,10007.67,334.56,0.4
9,96.55,5.0,5.64,15214.98,265.35,0.24
10,174.71,4.0,6.14,14651.34,290.01,0.26
11,24.4,5.0,1.8,11896.1,278.28,0.34
12,170.25,3.0,3.42,12374.48,352.57,0.33
13,20.0,4.0,1.33,10335.88,317.85,0.39
14,4.67,2.0,17.33,18895.67,187.37,0.12
