Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,99.96,6.0,8.35,15951.21,258.49,0.165
1,135.29,3.0,9.29,15722.08,276.67,0.173
2,5.73,5.0,15.45,20606.73,181.6,0.0
3,203.6,5.0,5.6,13461.48,323.75,0.253
4,37.53,4.0,8.71,16455.95,226.69,0.147
5,69.38,2.0,7.12,15032.86,257.79,0.197
6,154.36,1.0,13.93,13079.57,322.95,0.266
7,92.3,1.0,5.39,12141.35,313.78,0.299
8,279.0,5.0,8.25,14368.12,339.22,0.221
9,141.12,2.0,16.75,16447.99,270.0,0.147
10,354.0,5.0,1.83,9556.47,475.89,0.392
11,35.67,1.0,18.0,14223.67,224.66,0.225
12,20.33,5.0,11.0,18789.17,193.47,0.064
13,10000.0,2.0,14.0,573.32,6169.87,1.0
