Cluster,A,B,C,A-,B-,d2h
0,0.0,15.71,3.0,9.68,6.63,0.239
1,0.0,15.71,4.0,9.7,6.61,0.239
2,1.0,15.71,3.0,9.91,7.58,0.328
3,1.0,15.71,4.0,9.93,7.61,0.332
4,2.0,15.71,3.0,10.56,8.52,0.433
5,2.0,15.71,4.0,10.71,8.56,0.443
6,3.0,15.71,3.0,11.41,9.37,0.54
7,3.0,15.71,4.0,11.45,9.4,0.544
8,4.0,15.71,3.0,12.36,10.1,0.644
9,4.0,15.71,4.0,12.38,10.16,0.65
10,5.0,15.71,3.0,13.24,10.61,0.731
11,5.0,15.71,4.0,13.25,10.76,0.742
12,6.0,15.71,3.0,14.15,10.88,0.804
13,6.0,15.71,4.0,14.08,10.85,0.797
14,7.0,15.71,3.0,14.81,10.79,0.839
15,7.0,15.71,4.0,14.98,10.87,0.856
16,8.0,22.0,3.0,16.09,11.95,1.0
17,0.0,3.75,5.0,8.52,4.33,0.0
18,1.0,3.75,5.0,8.53,5.34,0.094
19,2.0,3.75,5.0,9.26,6.29,0.195
20,3.0,3.75,5.0,10.11,7.22,0.307
21,4.0,3.75,5.0,10.97,7.97,0.408
22,5.0,3.75,5.0,11.87,8.14,0.472
23,6.0,3.75,5.0,12.84,8.1,0.534
24,7.0,3.75,5.0,13.84,7.34,0.57
25,8.0,2.33,5.0,14.23,7.54,0.611
