Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,125.11,5.0,9.34,8454.2,382.77,0.18
1,84.83,4.0,9.86,8557.18,362.04,0.17
2,183.4,6.0,13.21,7732.97,426.05,0.22
3,60.29,3.0,9.79,8703.53,343.83,0.16
4,82.4,1.0,9.52,6155.68,493.17,0.32
5,60000.0,2.0,7.5,182.29,47804.5,0.92
6,81.96,2.0,10.23,7745.49,397.27,0.22
7,62.53,6.0,3.58,8665.74,346.8,0.16
8,60000.0,6.0,7.5,283.43,34714.75,0.82
9,60000.0,2.0,2.0,169.17,49100.33,0.93
10,10000.0,6.0,10.0,399.01,6689.07,0.69
11,60000.0,5.0,16.0,207.55,42172.33,0.87
