Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,96.25,1.0,9.5,6134.81,497.92,0.199
1,96.25,2.0,9.5,7503.86,414.36,0.082
2,96.25,3.0,9.5,8416.0,374.89,0.004
3,96.25,4.0,9.5,8458.07,370.36,0.0
4,96.25,5.0,9.5,8376.51,372.93,0.007
5,96.25,6.0,9.5,8378.25,370.18,0.007
6,10000.0,1.0,9.5,302.46,8644.71,0.709
7,10000.0,2.0,9.5,318.36,8403.93,0.707
8,10000.0,3.0,9.5,322.44,8331.42,0.706
9,10000.0,4.0,9.5,333.86,7957.57,0.705
10,10000.0,5.0,9.5,353.89,7498.98,0.702
11,10000.0,6.0,9.5,374.12,7120.73,0.699
12,60000.0,1.0,9.5,188.36,46074.06,1.0
13,60000.0,2.0,9.5,194.88,45987.44,0.999
14,60000.0,3.0,9.5,189.32,41799.44,0.954
15,60000.0,4.0,9.5,217.54,36845.89,0.903
16,60000.0,5.0,9.5,223.44,38619.78,0.92
17,60000.0,6.0,9.5,246.21,34535.33,0.879
