Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18518.5,1.0,1.0,8032.27,10902.52,0.832
1,18518.5,1.0,3.0,15197.18,9435.25,0.573
2,18518.5,1.0,6.0,19343.75,5146.93,0.316
3,18518.5,1.0,9.0,19914.32,3612.84,0.253
4,18518.5,1.0,12.0,16959.63,7849.28,0.471
5,18518.5,1.0,15.0,17558.18,7761.37,0.452
6,18518.5,1.0,18.0,17527.53,7758.02,0.453
7,18518.5,2.0,1.0,7227.13,15694.45,1.0
8,18518.5,2.0,3.0,17202.77,7463.41,0.452
9,18518.5,2.0,6.0,21291.6,6585.71,0.323
10,18518.5,2.0,9.0,22823.77,5285.54,0.244
11,18518.5,2.0,12.0,25033.68,5565.14,0.24
12,18518.5,2.0,15.0,24834.87,5209.1,0.224
13,18518.5,2.0,18.0,24284.87,5396.22,0.234
14,18518.5,3.0,1.0,9525.63,5796.27,0.665
15,18518.5,3.0,3.0,15192.43,743.49,0.391
16,18518.5,3.0,6.0,16241.45,682.94,0.349
17,18518.5,3.0,9.0,17145.98,736.74,0.314
18,18518.5,3.0,12.0,17321.97,632.47,0.307
19,18518.5,3.0,15.0,18300.6,605.51,0.268
20,18518.5,3.0,18.0,17821.85,594.27,0.287
21,18518.5,6.0,1.0,14260.3,1525.13,0.431
22,18518.5,6.0,3.0,17644.0,729.66,0.294
23,18518.5,6.0,6.0,20876.35,388.9,0.165
24,18518.5,6.0,9.0,20654.82,424.2,0.174
25,18518.5,6.0,12.0,21363.17,383.05,0.146
26,18518.5,6.0,15.0,20794.63,355.52,0.168
27,18518.5,6.0,18.0,20902.52,375.56,0.164
