Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18518.5,1.0,1.0,8814.28,15619.2,0.981
1,18518.5,1.0,3.0,16830.58,9055.16,0.564
2,18518.5,1.0,6.0,17493.9,8812.77,0.54
3,18518.5,1.0,9.0,17927.4,9039.79,0.537
4,18518.5,1.0,12.0,18558.57,8219.18,0.494
5,18518.5,1.0,15.0,18195.65,8696.63,0.519
6,18518.5,1.0,18.0,18416.4,8502.31,0.507
7,18518.5,2.0,1.0,8073.97,15355.93,0.991
8,18518.5,2.0,3.0,21282.53,6656.44,0.375
9,18518.5,2.0,6.0,25158.1,5659.26,0.265
10,18518.5,2.0,9.0,26669.15,5863.59,0.26
11,18518.5,2.0,12.0,27832.78,5412.61,0.236
12,18518.5,2.0,15.0,27719.37,5192.93,0.226
13,18518.5,2.0,18.0,27371.4,5392.42,0.236
14,18518.5,3.0,1.0,8877.1,13888.51,0.924
15,18518.5,3.0,3.0,16872.62,660.71,0.393
16,18518.5,3.0,6.0,18116.97,638.67,0.348
17,18518.5,3.0,9.0,18406.72,593.53,0.338
18,18518.5,3.0,12.0,18495.77,593.41,0.334
19,18518.5,3.0,15.0,18684.17,570.73,0.328
20,18518.5,3.0,18.0,18114.23,648.7,0.348
21,18518.5,6.0,1.0,9328.57,12267.77,0.862
22,18518.5,6.0,3.0,18745.68,718.37,0.326
23,18518.5,6.0,6.0,21317.1,407.6,0.233
24,18518.5,6.0,9.0,21501.02,308.51,0.227
25,18518.5,6.0,12.0,22728.32,304.18,0.183
26,18518.5,6.0,15.0,21966.45,331.96,0.21
27,18518.5,6.0,18.0,22493.8,351.73,0.191
