Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18518.5,1.0,1.0,7584.88,14778.23,0.916
1,18518.5,1.0,3.0,14714.93,10763.7,0.598
2,18518.5,1.0,6.0,15814.82,9603.46,0.532
3,18518.5,1.0,9.0,15504.4,9401.34,0.533
4,18518.5,1.0,12.0,16223.67,9348.47,0.513
5,18518.5,1.0,15.0,15984.72,8783.68,0.501
6,18518.5,1.0,18.0,17050.03,8773.7,0.474
7,18518.5,2.0,1.0,6588.15,16641.38,1.0
8,18518.5,2.0,3.0,17807.93,7117.66,0.4
9,18518.5,2.0,6.0,21117.87,6828.39,0.315
10,18518.5,2.0,9.0,22654.77,6394.86,0.275
11,18518.5,2.0,12.0,24200.43,6421.18,0.265
12,18518.5,2.0,15.0,23966.82,6199.86,0.256
13,18518.5,2.0,18.0,24803.15,5379.88,0.218
14,18518.5,3.0,1.0,7691.57,13133.65,0.866
15,18518.5,3.0,3.0,15282.97,729.47,0.37
16,18518.5,3.0,6.0,15775.32,797.32,0.351
17,18518.5,3.0,9.0,17288.53,662.55,0.292
18,18518.5,3.0,12.0,16442.1,653.25,0.325
19,18518.5,3.0,15.0,16442.88,657.06,0.325
20,18518.5,3.0,18.0,16394.98,698.68,0.327
21,18518.5,6.0,1.0,7650.23,12277.72,0.843
22,18518.5,6.0,3.0,16864.9,839.86,0.309
23,18518.5,6.0,6.0,20090.13,422.32,0.183
24,18518.5,6.0,9.0,20090.07,445.48,0.183
25,18518.5,6.0,12.0,20389.07,378.9,0.171
26,18518.5,6.0,15.0,20278.18,353.67,0.176
27,18518.5,6.0,18.0,20538.88,351.78,0.166
