Cluster,Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-,d2h
0,3.0,1.0,4.0,4.5,7.99,4.74,0.707
1,3.0,1.0,1.0,4.5,7.99,4.73,0.707
2,4.0,0.0,4.0,4.5,7.01,4.94,0.544
3,4.0,0.0,1.0,4.5,7.01,4.94,0.544
4,4.0,0.0,2.0,4.5,7.01,4.94,0.544
5,4.0,0.0,3.0,4.5,7.01,4.94,0.544
6,5.0,1.0,4.0,4.5,7.21,4.98,0.673
7,5.0,1.0,1.0,4.5,7.21,4.97,0.652
8,5.0,1.0,2.0,4.5,7.21,4.98,0.673
9,5.0,1.0,3.0,4.5,7.21,4.98,0.673
10,3.0,1.0,2.0,4.5,7.99,4.74,0.707
11,5.0,0.0,4.0,4.5,6.76,5.0,0.645
12,5.0,0.0,1.0,4.5,6.76,5.0,0.645
13,5.0,0.0,2.0,4.5,6.76,5.0,0.645
14,5.0,0.0,3.0,4.5,6.76,5.0,0.645
15,3.0,1.0,3.0,4.5,7.99,4.74,0.707
16,6.0,1.0,4.0,4.5,7.06,5.0,0.684
17,6.0,1.0,1.0,4.5,7.06,5.0,0.684
18,6.0,1.0,2.0,4.5,7.06,5.0,0.684
19,6.0,1.0,3.0,4.5,7.06,5.0,0.684
20,6.0,0.0,4.0,4.5,6.63,5.02,0.685
21,6.0,0.0,1.0,4.5,6.63,5.02,0.685
22,6.0,0.0,2.0,4.5,6.63,5.02,0.685
23,6.0,0.0,3.0,4.5,6.63,5.02,0.685
24,7.0,1.0,1.0,4.5,6.98,5.01,0.693
25,7.0,1.0,2.0,4.5,6.98,5.01,0.693
26,7.0,1.0,3.0,4.5,6.98,5.01,0.693
27,7.0,0.0,1.0,4.5,6.55,5.03,0.707
28,7.0,0.0,2.0,4.5,6.55,5.03,0.707
29,3.0,0.0,4.0,4.5,7.5,4.77,0.476
30,3.0,0.0,1.0,4.5,7.5,4.77,0.476
31,3.0,0.0,2.0,4.5,7.5,4.77,0.476
32,3.0,0.0,3.0,4.5,7.5,4.77,0.476
33,4.0,1.0,4.0,4.5,7.47,4.92,0.636
34,4.0,1.0,1.0,4.5,7.47,4.92,0.636
35,4.0,1.0,2.0,4.5,7.47,4.92,0.636
36,4.0,1.0,3.0,4.5,7.47,4.92,0.636
