Cluster,Spout,Split,Count,Buffer_size,Heap,Throughput+,Latency-,d2h
0,1.0,1.0,2.0,4263000.0,512.0,10953.11,91.72,0.654
1,1.0,1.0,2.0,4263000.0,1024.0,10021.19,98.9,0.72
2,1.0,1.0,2.0,4263000.0,2048.0,10826.87,91.37,0.663
3,1.0,1.0,2.0,105000000.0,512.0,10921.9,91.02,0.656
4,1.0,1.0,2.0,105000000.0,1024.0,10808.93,92.62,0.665
5,1.0,1.0,2.0,105000000.0,2048.0,10621.53,93.98,0.678
6,1.0,1.0,6.0,4263000.0,512.0,14047.5,69.99,0.437
7,1.0,1.0,6.0,4263000.0,1024.0,13981.75,68.88,0.441
8,1.0,1.0,6.0,4263000.0,2048.0,13955.5,69.81,0.443
9,1.0,1.0,9.0,4263000.0,512.0,15013.25,64.66,0.37
10,1.0,1.0,9.0,4263000.0,1024.0,14643.25,65.79,0.395
11,1.0,1.0,9.0,4263000.0,2048.0,14346.25,69.29,0.417
12,1.0,1.0,12.0,4263000.0,512.0,15041.0,64.91,0.368
13,1.0,1.0,12.0,4263000.0,1024.0,14963.0,66.02,0.374
14,1.0,1.0,12.0,4263000.0,2048.0,14720.5,66.44,0.39
15,1.0,2.0,2.0,4263000.0,512.0,11138.0,94.33,0.643
16,1.0,2.0,2.0,4263000.0,1024.0,11164.48,93.49,0.641
17,1.0,2.0,2.0,4263000.0,2048.0,11134.22,93.33,0.643
18,1.0,2.0,2.0,105000000.0,512.0,11043.87,95.33,0.65
19,1.0,2.0,2.0,105000000.0,1024.0,11120.4,93.23,0.644
20,1.0,2.0,2.0,105000000.0,2048.0,11197.73,92.96,0.639
21,1.0,2.0,6.0,4263000.0,512.0,17109.75,57.58,0.226
22,1.0,2.0,6.0,4263000.0,1024.0,17328.25,56.45,0.211
23,1.0,2.0,6.0,4263000.0,2048.0,17117.25,57.81,0.225
24,1.0,2.0,9.0,4263000.0,512.0,19156.5,51.87,0.086
25,1.0,2.0,9.0,4263000.0,1024.0,19481.75,50.21,0.063
26,1.0,2.0,9.0,4263000.0,2048.0,19488.0,50.46,0.063
27,1.0,2.0,12.0,4263000.0,512.0,20404.5,48.13,0.0
28,1.0,2.0,12.0,4263000.0,1024.0,20154.25,48.81,0.017
29,1.0,2.0,12.0,4263000.0,2048.0,20163.25,50.9,0.018
30,1.0,3.0,2.0,4263000.0,512.0,10735.82,91.68,0.669
31,1.0,3.0,2.0,4263000.0,1024.0,10791.18,91.25,0.665
32,1.0,3.0,2.0,4263000.0,2048.0,10685.96,91.78,0.672
33,1.0,3.0,2.0,105000000.0,512.0,10817.63,91.8,0.664
34,1.0,3.0,2.0,105000000.0,1024.0,10965.13,91.08,0.653
35,1.0,3.0,2.0,105000000.0,2048.0,10803.73,93.35,0.665
36,1.0,3.0,6.0,4263000.0,512.0,12900.0,73.16,0.516
37,1.0,3.0,6.0,4263000.0,1024.0,12563.0,75.67,0.539
38,1.0,3.0,6.0,4263000.0,2048.0,12297.75,76.34,0.557
39,1.0,3.0,9.0,4263000.0,512.0,12617.0,74.16,0.535
40,1.0,3.0,9.0,4263000.0,1024.0,12609.25,74.96,0.536
41,1.0,3.0,9.0,4263000.0,2048.0,12768.75,73.43,0.525
42,1.0,3.0,12.0,4263000.0,512.0,13003.5,71.57,0.508
43,1.0,3.0,12.0,4263000.0,1024.0,12868.75,73.39,0.518
44,1.0,3.0,12.0,4263000.0,2048.0,12741.75,74.51,0.527
45,1.0,6.0,2.0,4263000.0,512.0,11019.27,90.09,0.649
46,1.0,6.0,2.0,4263000.0,1024.0,10887.2,90.81,0.658
47,1.0,6.0,2.0,4263000.0,2048.0,10848.46,90.26,0.661
48,1.0,6.0,2.0,105000000.0,512.0,10827.43,90.44,0.662
49,1.0,6.0,2.0,105000000.0,1024.0,10892.6,89.11,0.657
50,1.0,6.0,2.0,105000000.0,2048.0,11034.2,89.61,0.648
51,1.0,6.0,6.0,4263000.0,512.0,13000.5,72.91,0.509
52,1.0,6.0,6.0,4263000.0,1024.0,13024.0,73.2,0.507
53,1.0,6.0,6.0,4263000.0,2048.0,13058.75,72.25,0.505
54,1.0,6.0,9.0,4263000.0,512.0,13294.5,71.97,0.488
55,1.0,6.0,9.0,4263000.0,1024.0,13190.75,71.8,0.495
56,1.0,6.0,9.0,4263000.0,2048.0,13769.0,69.18,0.455
57,1.0,6.0,12.0,4263000.0,512.0,13625.5,69.74,0.465
58,1.0,6.0,12.0,4263000.0,1024.0,13920.25,68.02,0.445
59,1.0,6.0,12.0,4263000.0,2048.0,13929.5,67.49,0.444
60,2.0,1.0,2.0,4263000.0,512.0,10561.98,197.97,0.784
61,2.0,1.0,2.0,4263000.0,1024.0,10565.48,197.79,0.783
62,2.0,1.0,2.0,4263000.0,2048.0,10665.1,194.99,0.774
63,2.0,1.0,2.0,105000000.0,512.0,10638.43,196.16,0.777
64,2.0,1.0,2.0,105000000.0,1024.0,10587.47,193.93,0.777
65,2.0,1.0,2.0,105000000.0,2048.0,10752.17,193.12,0.766
66,2.0,1.0,6.0,4263000.0,512.0,13122.75,153.93,0.573
67,2.0,1.0,6.0,4263000.0,1024.0,12811.25,152.37,0.589
68,2.0,1.0,6.0,4263000.0,2048.0,12858.5,153.49,0.588
69,2.0,1.0,9.0,4263000.0,512.0,13471.25,145.56,0.541
70,2.0,1.0,9.0,4263000.0,1024.0,13828.25,142.91,0.516
71,2.0,1.0,9.0,4263000.0,2048.0,13718.0,144.26,0.525
72,2.0,1.0,12.0,4263000.0,512.0,13875.25,142.44,0.513
73,2.0,1.0,12.0,4263000.0,1024.0,13983.5,140.19,0.504
74,2.0,1.0,12.0,4263000.0,2048.0,13913.25,140.75,0.508
75,2.0,2.0,2.0,4263000.0,512.0,11045.35,190.52,0.745
76,2.0,2.0,2.0,4263000.0,1024.0,11001.67,190.8,0.748
77,2.0,2.0,2.0,4263000.0,2048.0,11056.16,188.19,0.741
78,2.0,2.0,2.0,105000000.0,512.0,11176.2,188.55,0.735
79,2.0,2.0,2.0,105000000.0,1024.0,11173.27,187.99,0.734
80,2.0,2.0,2.0,105000000.0,2048.0,10916.4,188.65,0.75
81,2.0,2.0,6.0,4263000.0,512.0,12891.25,152.35,0.585
82,2.0,2.0,6.0,4263000.0,1024.0,13153.0,152.2,0.569
83,2.0,2.0,6.0,4263000.0,2048.0,13039.25,151.05,0.574
