Cluster,Spout,Split,Count,Buffer_size,Heap,Throughput+,Latency-,d2h
0,3.0,2.0,2.4,4458400.0,2048.0,11436.44,274.2,0.67
1,1.0,6.0,9.0,2184000.0,1024.0,13157.0,72.39,0.41
2,2.0,2.0,2.0,5512333.33,512.0,11036.02,190.0,0.59
3,1.0,2.0,6.0,3937333.33,512.0,17083.33,57.75,0.19
4,2.0,3.0,2.5,1703500.0,1024.0,11652.5,170.69,0.55
5,2.0,6.0,1.6,4458400.0,512.0,10918.72,181.63,0.59
6,1.0,1.0,2.33,6473333.33,512.0,11515.53,87.11,0.5
7,1.0,1.0,12.0,2184000.0,2048.0,14713.33,66.27,0.32
8,3.0,1.0,1.62,2983250.0,1024.0,9683.44,324.28,0.81
9,1.0,3.0,2.5,656000.0,512.0,11961.5,80.92,0.48
10,1.0,2.0,2.2,6506000.0,1024.0,11844.74,86.79,0.49
11,2.0,2.0,2.0,6822500.0,2048.0,11362.55,182.29,0.57
12,1.0,6.0,2.14,3372000.0,2048.0,11404.83,85.18,0.51
13,1.0,2.0,12.0,3937333.33,512.0,20342.33,48.37,0.01
14,1.0,3.0,2.14,4947142.86,2048.0,10845.96,90.42,0.54
15,3.0,2.0,2.14,4123428.57,1024.0,10943.2,290.91,0.71
16,2.0,2.0,1.0,4263000.0,1024.0,8303.5,246.24,0.78
17,2.0,6.0,1.5,6625500.0,1024.0,10808.08,185.77,0.6
18,3.0,1.0,1.67,2184000.0,512.0,10179.73,314.26,0.78
19,2.0,1.0,1.8,7558000.0,1024.0,10245.76,203.08,0.65
20,1.0,3.0,12.0,5334000.0,2048.0,12732.0,75.33,0.43
21,1.0,3.0,9.0,3937333.33,1024.0,12577.67,75.05,0.44
22,1.0,6.0,1.86,4123428.57,512.0,10646.37,92.92,0.55
23,3.0,6.0,2.4,7400400.0,2048.0,12533.02,254.51,0.6
24,1.0,1.0,1.75,3215500.0,2048.0,10512.83,94.16,0.56
25,1.0,6.0,12.0,5334000.0,1024.0,13840.33,68.13,0.37
26,2.0,6.0,2.0,2782400.0,2048.0,11024.1,177.72,0.58
27,2.0,3.0,2.0,3620400.0,2048.0,10823.74,185.0,0.6
28,2.0,6.0,12.0,5334000.0,2048.0,15106.0,131.76,0.34
29,2.0,1.0,6.0,3937333.33,512.0,13089.0,153.93,0.46
30,1.0,3.0,9.0,5596666.67,2048.0,12706.0,73.48,0.43
31,2.0,3.0,6.0,4263000.0,2048.0,13014.75,154.1,0.46
32,3.0,3.0,1.33,1921333.33,2048.0,9573.33,329.88,0.82
33,3.0,1.0,1.0,2184000.0,2048.0,7827.27,385.16,0.97
34,1.0,3.0,2.0,105000000.0,1024.0,10965.13,91.08,0.53
35,2.0,2.0,3.0,4263000.0,1024.0,12348.0,165.3,0.51
36,1.0,1.0,9.0,5596666.67,2048.0,14271.67,70.26,0.35
37,2.0,1.0,9.0,5596666.67,2048.0,13538.0,146.2,0.43
