Cluster,Spout,Split,Count,Buffer_size,Heap,Throughput+,Latency-,d2h
0,2.0,3.0,2.75,6822500.0,2048.0,11584.25,172.57,0.564
1,2.0,3.0,12.0,5334000.0,1024.0,14692.33,133.7,0.369
2,2.0,1.0,2.25,4786750.0,512.0,11072.86,188.3,0.605
3,3.0,3.0,1.89,3906000.0,1024.0,10744.13,298.99,0.764
4,1.0,6.0,6.0,5596666.67,512.0,12902.67,72.84,0.426
5,3.0,3.0,9.0,5596666.67,512.0,16903.0,184.23,0.35
6,2.0,1.0,9.0,5334000.0,2048.0,13919.33,143.13,0.417
7,3.0,1.0,6.0,3937333.33,512.0,11863.67,254.18,0.652
8,3.0,2.0,1.89,5043555.56,2048.0,10713.13,295.11,0.759
9,3.0,2.0,2.09,4626727.27,512.0,11007.03,285.98,0.734
10,1.0,1.0,12.0,3937333.33,1024.0,15015.67,65.25,0.305
11,2.0,6.0,2.0,2983250.0,512.0,11023.85,177.76,0.597
12,2.0,6.0,6.0,5334000.0,512.0,12920.67,153.13,0.477
13,1.0,3.0,2.29,6184571.43,512.0,11342.03,86.02,0.518
14,2.0,2.0,2.12,4786750.0,2048.0,11401.24,182.29,0.583
15,1.0,1.0,2.0,4459111.11,1024.0,9721.56,101.39,0.614
16,2.0,3.0,1.88,3507000.0,1024.0,10891.12,182.73,0.609
17,2.0,1.0,2.22,4402888.89,2048.0,11155.32,184.51,0.597
18,1.0,1.0,2.0,4767000.0,512.0,10897.52,92.97,0.545
19,3.0,2.0,2.0,105000000.0,512.0,10636.53,293.26,0.76
20,3.0,3.0,12.0,2184000.0,512.0,17941.33,173.21,0.299
21,3.0,3.0,12.0,2184000.0,2048.0,18139.67,170.82,0.29
22,1.0,1.0,9.0,3937333.33,2048.0,14481.67,68.14,0.336
23,2.0,2.0,2.14,4010857.14,1024.0,11227.79,186.33,0.596
24,3.0,6.0,9.0,5334000.0,2048.0,17165.67,177.95,0.33
25,2.0,3.0,9.0,3937333.33,1024.0,14114.0,139.18,0.403
26,1.0,6.0,2.0,4987428.57,2048.0,10976.53,89.67,0.539
27,3.0,2.0,2.0,4361500.0,1024.0,10610.39,298.32,0.768
28,2.0,2.0,2.57,3372000.0,512.0,12417.71,164.03,0.513
29,2.0,2.0,2.0,105000000.0,1024.0,11173.27,187.99,0.6
30,2.0,6.0,2.25,3640750.0,1024.0,11243.6,176.35,0.585
31,3.0,1.0,1.89,3906000.0,512.0,9927.73,319.26,0.827
