Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,1.0,370.0,2.0,5.5,550000.0,5500.0,23782.11,1720.48,0.683
1,1.0,370.0,2.0,5.5,550000.0,100000.0,16985.76,4331.0,0.72
2,1.0,370.0,2.0,5.5,2000000.0,5500.0,22238.48,1714.18,0.688
3,1.0,370.0,2.0,5.5,2000000.0,100000.0,16649.34,4755.23,0.724
4,1.0,370.0,2.0,5.5,10000000.0,5500.0,21329.91,1791.3,0.692
5,1.0,370.0,2.0,5.5,10000000.0,100000.0,16171.71,4699.13,0.726
6,1.0,370.0,2.0,60.0,550000.0,5500.0,25222.49,1711.03,0.678
7,1.0,370.0,2.0,60.0,550000.0,100000.0,16912.73,4525.15,0.722
8,1.0,370.0,2.0,60.0,2000000.0,5500.0,24728.9,1740.86,0.679
9,1.0,370.0,2.0,60.0,2000000.0,100000.0,17153.94,4756.27,0.723
10,1.0,370.0,2.0,60.0,10000000.0,5500.0,24364.99,1767.15,0.681
11,1.0,370.0,2.0,60.0,10000000.0,100000.0,17025.53,4848.07,0.724
12,1.0,370.0,2.0,120.0,550000.0,5500.0,24910.98,1701.55,0.679
13,1.0,370.0,2.0,120.0,550000.0,100000.0,17269.78,4711.09,0.722
14,1.0,370.0,2.0,120.0,2000000.0,5500.0,24882.54,1772.74,0.679
15,1.0,370.0,2.0,120.0,2000000.0,100000.0,16612.38,4586.24,0.723
16,1.0,370.0,2.0,120.0,10000000.0,5500.0,24568.66,1789.83,0.68
17,1.0,370.0,2.0,120.0,10000000.0,100000.0,17145.94,4734.41,0.722
18,1.0,370.0,2.0,300.0,550000.0,5500.0,25404.66,1736.34,0.677
19,1.0,370.0,2.0,300.0,550000.0,100000.0,17294.11,4184.83,0.718
20,1.0,370.0,2.0,300.0,2000000.0,5500.0,24629.55,1719.91,0.68
21,1.0,370.0,2.0,300.0,2000000.0,100000.0,17017.85,4746.29,0.723
22,1.0,370.0,2.0,300.0,10000000.0,5500.0,24583.18,1826.68,0.68
23,1.0,370.0,2.0,300.0,10000000.0,100000.0,16616.56,3697.29,0.717
24,1.0,370.0,6.0,5.5,550000.0,5500.0,50141.79,37.96,0.587
25,1.0,370.0,6.0,5.5,550000.0,100000.0,49316.08,37.82,0.59
