Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,3.0,370.0,12.0,1.0,10000000.0,100000.0,52965.0,120.88,0.54
1,3.0,484.55,1.64,5.09,2000000.0,5909.09,29471.44,4651.31,0.62
2,1.0,558.57,2.1,4.86,571428.57,4857.14,32611.27,2030.94,0.6
3,1.0,700.0,9.0,7.0,2000000.0,100000.0,62482.67,72.24,0.51
4,3.0,1000.0,2.0,7.0,10000000.0,100000.0,45660.57,11137.02,0.61
5,1.0,370.0,2.17,7.0,2000000.0,100000.0,24697.28,5757.82,0.64
6,3.0,535.0,9.0,7.0,400000.0,8500.0,80081.33,117.46,0.45
7,1.0,385.0,6.0,7.0,550000.0,100000.0,49653.33,41.01,0.55
8,3.0,340.0,9.0,60.0,2000000.0,4000.0,55414.0,75.21,0.53
9,1.0,370.0,3.0,120.0,2000000.0,7000.0,50341.0,42.06,0.55
10,3.0,70.0,18.0,300.0,1000000.0,7000.0,29968.33,53.3,0.61
11,1.0,775.0,6.0,5.5,10000000.0,5500.0,59286.25,94.81,0.52
12,3.0,527.5,12.0,5.5,1000000.0,5500.0,78757.25,114.76,0.45
13,3.0,10000.0,1.33,300.0,2000000.0,7000.0,9287.1,17403.3,0.77
14,1.0,424.0,2.4,300.0,10000000.0,6400.0,29963.12,240.93,0.61
15,3.0,370.0,6.0,300.0,10000000.0,1000.0,58867.67,109.33,0.52
16,3.0,160.0,1.44,2.0,700000.0,6000.0,8615.35,1398.48,0.68
17,1.0,442.0,2.6,300.0,2000000.0,6400.0,33580.78,1254.2,0.6
18,1.0,205.0,9.0,4.0,850000.0,4000.0,43255.67,23.44,0.57
19,1.0,226.0,9.0,120.0,460000.0,4600.0,45124.0,21.26,0.56
20,1.0,64.0,18.0,300.0,640000.0,4600.0,27519.0,25.61,0.62
21,3.0,622.0,6.0,8.2,820000.0,8200.0,89824.0,126.45,0.42
22,3.0,270.0,2.44,60.0,400000.0,6000.0,30107.94,1122.0,0.61
23,3.0,340.0,9.0,120.0,700000.0,1000.0,53828.0,72.42,0.53
24,3.0,1000.0,15.0,4.0,400000.0,10000.0,133333.33,184.98,0.28
25,1.0,343.0,1.9,3.7,730000.0,100000.0,12048.12,7116.18,0.69
26,3.0,1000.0,2.33,7.0,400000.0,100000.0,43405.03,6437.77,0.58
