Cluster,Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-,d2h
0,3.0,10000.0,6.0,7.0,100000.0,7000.0,200000.0,1097.7,0.046
1,1.0,40.0,12.0,4.0,2000000.0,10000.0,35708.0,8.55,0.596
2,1.0,70.0,1.33,120.0,10000000.0,7000.0,11853.1,116.79,0.682
3,3.0,40.0,1.33,60.0,10000000.0,4000.0,5969.12,256.58,0.703
4,1.0,10.0,2.75,5.5,775000.0,100000.0,27516.82,35.89,0.625
5,3.0,70.0,2.0,120.0,10000000.0,1000.0,17648.47,177.58,0.661
6,3.0,527.5,6.0,7.75,775000.0,7750.0,79721.0,111.94,0.436
7,3.0,302.5,2.38,5.5,100000.0,6625.0,47391.57,248.22,0.553
8,3.0,370.0,18.0,10.0,2000000.0,1000.0,55962.67,106.56,0.522
9,3.0,100.0,9.0,7.75,325000.0,3250.0,38714.75,65.83,0.585
10,1.0,700.0,12.0,300.0,700000.0,100000.0,56026.0,82.29,0.522
11,1.0,370.0,18.0,7.0,2000000.0,100000.0,39880.0,57.25,0.58
12,1.0,40.0,2.0,60.0,2000000.0,4000.0,17853.8,22.42,0.66
13,3.0,10000.0,1.33,7.0,10000000.0,7000.0,8983.1,16624.4,0.99
14,1.0,40.0,6.0,4.0,400000.0,7000.0,36708.33,8.08,0.592
15,1.0,775.0,1.75,7.75,10000000.0,5500.0,4939.7,2543.35,0.715
16,3.0,10.0,2.0,60.0,100000.0,10000.0,8055.33,136.72,0.696
17,1.0,280.0,2.25,120.0,2000000.0,10000.0,33107.9,35.39,0.605
18,1.0,370.0,9.0,4.0,2000000.0,7000.0,50466.67,39.8,0.542
19,1.0,40.0,3.0,7.0,700000.0,4000.0,37595.33,7.41,0.589
20,3.0,370.0,12.0,120.0,2000000.0,4000.0,58682.67,91.03,0.512
21,3.0,100.0,12.0,7.0,400000.0,7000.0,38963.0,63.49,0.584
22,3.0,700.0,2.67,4.0,10000000.0,100000.0,59141.43,3455.45,0.531
