Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,1.0,222.6,4.0,1.0,1.0,55.0,6401.64,238.25,0.625
1,1.0,222.6,4.0,1.0,1.0,1000.0,6406.67,245.68,0.625
2,1.0,222.6,4.0,1.0,3.0,55.0,8768.52,160.61,0.566
3,1.0,222.6,4.0,1.0,3.0,1000.0,8761.64,169.2,0.566
4,1.0,222.6,4.0,1.0,6.0,55.0,9214.16,151.42,0.555
5,1.0,222.6,4.0,1.0,6.0,1000.0,9029.9,154.51,0.559
6,1.0,222.6,4.0,1.0,12.0,55.0,9370.06,145.39,0.551
7,1.0,222.6,4.0,1.0,12.0,1000.0,9493.36,141.05,0.548
8,1.0,222.6,4.0,2.0,1.0,55.0,6494.23,265.75,0.623
9,1.0,222.6,4.0,2.0,1.0,1000.0,6465.21,269.41,0.624
10,1.0,222.6,4.0,2.0,3.0,55.0,9518.3,161.86,0.547
11,1.0,222.6,4.0,2.0,3.0,1000.0,9556.56,154.25,0.546
12,1.0,222.6,4.0,2.0,6.0,55.0,10420.52,136.39,0.524
13,1.0,222.6,4.0,2.0,6.0,1000.0,10491.63,131.34,0.522
14,1.0,222.6,4.0,2.0,12.0,55.0,11482.62,118.95,0.497
15,1.0,222.6,4.0,2.0,12.0,1000.0,11478.86,122.14,0.498
16,1.0,222.6,4.0,3.0,1.0,55.0,6429.0,233.19,0.625
17,1.0,222.6,4.0,3.0,1.0,1000.0,6458.65,240.88,0.624
18,1.0,222.6,4.0,3.0,3.0,55.0,9268.79,150.71,0.553
19,1.0,222.6,4.0,3.0,3.0,1000.0,9204.66,152.4,0.555
20,1.0,222.6,4.0,3.0,6.0,55.0,9481.29,143.79,0.548
21,1.0,222.6,4.0,3.0,6.0,1000.0,9615.2,140.47,0.544
22,1.0,222.6,4.0,3.0,12.0,55.0,9551.86,137.6,0.546
23,1.0,222.6,4.0,3.0,12.0,1000.0,9559.75,139.14,0.546
24,1.0,222.6,4.0,6.0,1.0,55.0,6534.16,229.69,0.622
25,1.0,222.6,4.0,6.0,1.0,1000.0,6520.61,239.91,0.622
26,1.0,222.6,4.0,6.0,3.0,55.0,9424.78,149.04,0.549
27,1.0,222.6,4.0,6.0,3.0,1000.0,9436.37,144.7,0.549
28,1.0,222.6,4.0,6.0,6.0,55.0,9778.47,135.6,0.54
29,1.0,222.6,4.0,6.0,6.0,1000.0,9847.97,128.17,0.539
30,1.0,222.6,4.0,6.0,12.0,55.0,10176.11,126.11,0.53
31,1.0,222.6,4.0,6.0,12.0,1000.0,10068.43,123.53,0.533
32,1.0,222.6,100.0,1.0,1.0,55.0,3788.91,310.45,0.691
33,1.0,222.6,100.0,1.0,1.0,1000.0,3825.45,279.32,0.69
34,1.0,222.6,100.0,1.0,3.0,55.0,5216.13,215.24,0.655
35,1.0,222.6,100.0,1.0,3.0,1000.0,5124.87,226.33,0.657
36,1.0,222.6,100.0,1.0,6.0,55.0,5298.3,212.84,0.653
37,1.0,222.6,100.0,1.0,6.0,1000.0,5061.32,223.87,0.659
38,1.0,222.6,100.0,1.0,12.0,55.0,5385.31,201.52,0.651
39,1.0,222.6,100.0,1.0,12.0,1000.0,5338.72,209.62,0.652
40,1.0,222.6,100.0,2.0,1.0,55.0,3781.68,310.6,0.691
41,1.0,222.6,100.0,2.0,1.0,1000.0,3648.06,310.91,0.695
42,1.0,222.6,100.0,2.0,3.0,55.0,5320.43,216.32,0.653
43,1.0,222.6,100.0,2.0,3.0,1000.0,5299.19,225.22,0.653
44,1.0,222.6,100.0,2.0,6.0,55.0,5711.22,199.38,0.643
45,1.0,222.6,100.0,2.0,6.0,1000.0,5639.58,226.1,0.645
46,1.0,222.6,100.0,2.0,12.0,55.0,6120.37,188.45,0.632
47,1.0,222.6,100.0,2.0,12.0,1000.0,6219.2,182.3,0.63
48,1.0,222.6,100.0,3.0,1.0,55.0,3869.81,283.8,0.689
49,1.0,222.6,100.0,3.0,1.0,1000.0,3908.92,269.74,0.688
50,1.0,222.6,100.0,3.0,3.0,55.0,4925.61,217.16,0.662
51,1.0,222.6,100.0,3.0,3.0,1000.0,4994.75,207.29,0.661
52,1.0,222.6,100.0,3.0,6.0,55.0,5171.84,201.18,0.656
53,1.0,222.6,100.0,3.0,6.0,1000.0,5307.24,197.99,0.653
54,1.0,222.6,100.0,3.0,12.0,55.0,4993.71,204.99,0.661
55,1.0,222.6,100.0,3.0,12.0,1000.0,5250.28,200.22,0.654
56,1.0,222.6,100.0,6.0,1.0,55.0,3764.63,274.18,0.692
57,1.0,222.6,100.0,6.0,1.0,1000.0,3834.64,277.23,0.69
58,1.0,222.6,100.0,6.0,3.0,55.0,5176.08,208.62,0.656
59,1.0,222.6,100.0,6.0,3.0,1000.0,5176.1,210.23,0.656
60,1.0,222.6,100.0,6.0,6.0,55.0,5330.82,203.23,0.652
61,1.0,222.6,100.0,6.0,6.0,1000.0,5139.83,188.87,0.657
62,1.0,222.6,100.0,6.0,12.0,55.0,5343.66,183.03,0.652
63,1.0,222.6,100.0,6.0,12.0,1000.0,5300.02,193.29,0.653
64,1.0,10000.0,4.0,1.0,1.0,55.0,4620.69,20508.38,0.738
65,1.0,10000.0,4.0,1.0,1.0,1000.0,4577.5,20700.25,0.74
66,1.0,10000.0,4.0,1.0,3.0,55.0,20968.75,5932.27,0.273
67,1.0,10000.0,4.0,1.0,3.0,1000.0,20747.25,5687.07,0.277
68,1.0,10000.0,4.0,1.0,6.0,55.0,23408.5,5209.91,0.212
69,1.0,10000.0,4.0,1.0,6.0,1000.0,23200.0,5509.65,0.218
70,1.0,10000.0,4.0,1.0,12.0,55.0,24472.0,5387.55,0.188
71,1.0,10000.0,4.0,1.0,12.0,1000.0,23703.75,5624.52,0.207
72,1.0,10000.0,4.0,2.0,1.0,55.0,4102.8,24623.12,0.777
73,1.0,10000.0,4.0,2.0,1.0,1000.0,4083.05,24393.0,0.776
74,1.0,10000.0,4.0,2.0,3.0,55.0,11479.64,10147.6,0.52
75,1.0,10000.0,4.0,2.0,3.0,1000.0,12267.75,9922.65,0.5
76,1.0,10000.0,4.0,2.0,6.0,55.0,26965.12,4402.07,0.126
77,1.0,10000.0,4.0,2.0,6.0,1000.0,26043.75,4519.15,0.147
78,1.0,10000.0,4.0,2.0,12.0,55.0,28562.75,4608.62,0.096
79,1.0,10000.0,4.0,2.0,12.0,1000.0,31249.0,4604.55,0.068
80,1.0,10000.0,4.0,3.0,1.0,55.0,4648.29,16804.0,0.715
81,1.0,10000.0,4.0,3.0,1.0,1000.0,4718.95,16643.25,0.713
82,1.0,10000.0,4.0,3.0,3.0,55.0,16876.62,5626.04,0.371
83,1.0,10000.0,4.0,3.0,3.0,1000.0,16665.5,5415.35,0.376
84,1.0,10000.0,4.0,3.0,6.0,55.0,16306.88,5632.16,0.385
85,1.0,10000.0,4.0,3.0,6.0,1000.0,16504.25,5799.65,0.381
86,1.0,10000.0,4.0,3.0,12.0,55.0,16661.25,5413.42,0.376
87,1.0,10000.0,4.0,3.0,12.0,1000.0,17933.25,5260.93,0.344
88,1.0,10000.0,4.0,6.0,1.0,55.0,4689.5,15132.88,0.706
89,1.0,10000.0,4.0,6.0,1.0,1000.0,4640.38,16583.0,0.714
90,1.0,10000.0,4.0,6.0,3.0,55.0,24029.12,4098.98,0.191
91,1.0,10000.0,4.0,6.0,3.0,1000.0,23902.0,4119.43,0.195
92,1.0,10000.0,4.0,6.0,6.0,55.0,27362.62,3450.29,0.11
93,1.0,10000.0,4.0,6.0,6.0,1000.0,28041.0,3303.85,0.094
94,1.0,10000.0,4.0,6.0,12.0,55.0,26484.0,3581.62,0.131
95,1.0,10000.0,4.0,6.0,12.0,1000.0,26541.75,3475.82,0.129
96,3.0,222.6,4.0,1.0,1.0,55.0,6869.62,1400.04,0.614
97,3.0,222.6,4.0,1.0,1.0,1000.0,6721.82,1499.42,0.618
98,3.0,222.6,4.0,1.0,3.0,55.0,11359.15,534.78,0.501
99,3.0,222.6,4.0,1.0,3.0,1000.0,11596.28,496.47,0.495
100,3.0,222.6,4.0,1.0,6.0,55.0,11595.6,542.09,0.495
101,3.0,222.6,4.0,1.0,6.0,1000.0,11818.05,544.71,0.489
102,3.0,222.6,4.0,1.0,12.0,55.0,11824.23,506.86,0.489
103,3.0,222.6,4.0,1.0,12.0,1000.0,11785.97,494.76,0.49
104,3.0,222.6,4.0,2.0,1.0,55.0,7113.78,1567.91,0.608
105,3.0,222.6,4.0,2.0,1.0,1000.0,7077.89,1644.47,0.609
106,3.0,222.6,4.0,2.0,3.0,55.0,11575.61,549.73,0.495
107,3.0,222.6,4.0,2.0,3.0,1000.0,11341.41,576.84,0.501
108,3.0,222.6,4.0,2.0,6.0,55.0,13192.29,371.23,0.454
109,3.0,222.6,4.0,2.0,6.0,1000.0,13060.35,391.22,0.458
110,3.0,222.6,4.0,2.0,12.0,55.0,14463.74,320.25,0.422
111,3.0,222.6,4.0,2.0,12.0,1000.0,14572.84,319.44,0.42
112,3.0,222.6,4.0,3.0,1.0,55.0,7355.18,2762.13,0.603
113,3.0,222.6,4.0,3.0,1.0,1000.0,7386.05,2688.51,0.602
114,3.0,222.6,4.0,3.0,3.0,55.0,12648.56,636.67,0.468
115,3.0,222.6,4.0,3.0,3.0,1000.0,12881.99,546.42,0.462
116,3.0,222.6,4.0,3.0,6.0,55.0,14733.45,371.2,0.416
117,3.0,222.6,4.0,3.0,6.0,1000.0,14844.33,341.41,0.413
118,3.0,222.6,4.0,3.0,12.0,55.0,15457.37,364.3,0.397
119,3.0,222.6,4.0,3.0,12.0,1000.0,15436.5,344.3,0.398
120,3.0,222.6,4.0,6.0,1.0,55.0,7208.62,2907.71,0.607
121,3.0,222.6,4.0,6.0,1.0,1000.0,7072.39,2868.08,0.61
122,3.0,222.6,4.0,6.0,3.0,55.0,12608.62,643.83,0.469
123,3.0,222.6,4.0,6.0,3.0,1000.0,12995.64,523.53,0.459
124,3.0,222.6,4.0,6.0,6.0,55.0,14997.73,387.66,0.409
125,3.0,222.6,4.0,6.0,6.0,1000.0,15086.6,359.08,0.407
126,3.0,222.6,4.0,6.0,12.0,55.0,15893.27,447.27,0.386
127,3.0,222.6,4.0,6.0,12.0,1000.0,16207.27,429.3,0.379
128,3.0,222.6,100.0,1.0,1.0,55.0,4668.63,873.73,0.669
129,3.0,222.6,100.0,1.0,1.0,1000.0,4738.24,784.29,0.667
130,3.0,222.6,100.0,1.0,3.0,55.0,7317.86,460.83,0.602
131,3.0,222.6,100.0,1.0,3.0,1000.0,7076.92,441.92,0.608
132,3.0,222.6,100.0,1.0,6.0,55.0,7272.51,483.1,0.603
133,3.0,222.6,100.0,1.0,6.0,1000.0,7544.68,449.59,0.597
134,3.0,222.6,100.0,1.0,12.0,55.0,7187.44,515.64,0.606
135,3.0,222.6,100.0,1.0,12.0,1000.0,7354.33,467.2,0.601
136,3.0,222.6,100.0,2.0,1.0,55.0,4459.55,943.29,0.674
137,3.0,222.6,100.0,2.0,1.0,1000.0,4717.25,839.21,0.668
138,3.0,222.6,100.0,2.0,3.0,55.0,7148.82,500.71,0.607
139,3.0,222.6,100.0,2.0,3.0,1000.0,7937.16,455.29,0.587
140,3.0,222.6,100.0,2.0,6.0,55.0,8419.36,372.04,0.575
141,3.0,222.6,100.0,2.0,6.0,1000.0,9017.36,418.58,0.56
142,3.0,222.6,100.0,2.0,12.0,55.0,10393.6,343.06,0.525
143,3.0,222.6,100.0,2.0,12.0,1000.0,10560.75,312.44,0.521
144,3.0,222.6,100.0,3.0,1.0,55.0,3297.31,2571.52,0.704
145,3.0,222.6,100.0,3.0,1.0,1000.0,3388.54,2524.04,0.702
146,3.0,222.6,100.0,3.0,3.0,55.0,7970.09,529.37,0.586
147,3.0,222.6,100.0,3.0,3.0,1000.0,8172.68,422.16,0.581
148,3.0,222.6,100.0,3.0,6.0,55.0,9611.6,373.55,0.545
149,3.0,222.6,100.0,3.0,6.0,1000.0,9786.22,351.92,0.54
150,3.0,222.6,100.0,3.0,12.0,55.0,11107.58,350.51,0.507
151,3.0,222.6,100.0,3.0,12.0,1000.0,10830.81,380.56,0.514
152,3.0,222.6,100.0,6.0,1.0,55.0,3275.95,2788.97,0.705
153,3.0,222.6,100.0,6.0,1.0,1000.0,3152.96,2287.75,0.708
154,3.0,222.6,100.0,6.0,3.0,55.0,8014.07,469.87,0.585
155,3.0,222.6,100.0,6.0,3.0,1000.0,8403.51,516.24,0.575
156,3.0,222.6,100.0,6.0,6.0,55.0,10048.06,340.08,0.534
157,3.0,222.6,100.0,6.0,6.0,1000.0,9611.94,397.84,0.545
158,3.0,222.6,100.0,6.0,12.0,55.0,10742.86,396.17,0.516
159,3.0,222.6,100.0,6.0,12.0,1000.0,11069.26,472.87,0.508
160,3.0,10000.0,4.0,1.0,1.0,55.0,6168.39,40125.12,0.874
161,3.0,10000.0,4.0,1.0,1.0,1000.0,6544.62,43854.5,0.908
162,3.0,10000.0,4.0,1.0,3.0,55.0,6624.79,37830.75,0.842
163,3.0,10000.0,4.0,1.0,3.0,1000.0,6665.43,39409.0,0.858
164,3.0,10000.0,4.0,1.0,6.0,55.0,6462.6,38569.38,0.853
165,3.0,10000.0,4.0,1.0,6.0,1000.0,5982.28,40363.5,0.88
166,3.0,10000.0,4.0,1.0,12.0,55.0,5955.47,38602.88,0.862
167,3.0,10000.0,4.0,1.0,12.0,1000.0,6258.3,40631.25,0.878
168,3.0,10000.0,4.0,2.0,1.0,55.0,6556.47,37683.62,0.842
169,3.0,10000.0,4.0,2.0,1.0,1000.0,7236.32,39933.75,0.853
170,3.0,10000.0,4.0,2.0,3.0,55.0,8046.49,32988.0,0.767
171,3.0,10000.0,4.0,2.0,3.0,1000.0,7627.93,33372.25,0.779
172,3.0,10000.0,4.0,2.0,6.0,55.0,11117.7,24084.88,0.623
173,3.0,10000.0,4.0,2.0,6.0,1000.0,11857.75,25744.0,0.623
174,3.0,10000.0,4.0,2.0,12.0,55.0,13388.25,22611.12,0.564
175,3.0,10000.0,4.0,2.0,12.0,1000.0,14596.5,23041.25,0.544
176,3.0,10000.0,4.0,3.0,1.0,55.0,6473.66,42830.62,0.898
177,3.0,10000.0,4.0,3.0,1.0,1000.0,6406.12,45058.5,0.923
178,3.0,10000.0,4.0,3.0,3.0,55.0,7631.5,35545.88,0.8
179,3.0,10000.0,4.0,3.0,3.0,1000.0,8190.65,33992.75,0.774
180,3.0,10000.0,4.0,3.0,6.0,55.0,12141.85,31516.25,0.676
181,3.0,10000.0,4.0,3.0,6.0,1000.0,12239.0,30589.5,0.664
182,3.0,10000.0,4.0,3.0,12.0,55.0,15558.62,33566.75,0.642
183,3.0,10000.0,4.0,3.0,12.0,1000.0,17600.25,32081.5,0.593
184,3.0,10000.0,4.0,6.0,1.0,55.0,6594.7,46887.25,0.941
185,3.0,10000.0,4.0,6.0,1.0,1000.0,5036.15,46816.5,0.966
186,3.0,10000.0,4.0,6.0,3.0,55.0,7352.39,37543.5,0.826
187,3.0,10000.0,4.0,6.0,3.0,1000.0,7481.68,42527.5,0.877
188,3.0,10000.0,4.0,6.0,6.0,55.0,8578.55,37374.25,0.802
189,3.0,10000.0,4.0,6.0,6.0,1000.0,9430.33,35065.75,0.762
190,3.0,10000.0,4.0,6.0,12.0,55.0,9136.6,30613.88,0.723
191,3.0,10000.0,4.0,6.0,12.0,1000.0,9972.48,35728.5,0.759
