Cluster,Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-,d2h
0,3.0,202.17,2.83,1.0,1.0,1000.0,7018.47,1561.47,0.57
1,3.0,172.86,4.29,1.0,12.0,35.71,10885.12,413.41,0.49
2,3.0,10000.0,4.67,3.0,12.0,1000.0,16552.67,32762.33,0.57
3,3.0,316.14,3.14,2.0,3.0,1000.0,12132.53,717.23,0.46
4,3.0,525.25,100.0,1.0,1.0,55.0,7675.62,1972.22,0.55
5,3.0,30.25,2.25,3.0,3.0,1000.0,13824.73,67.85,0.43
6,3.0,304.5,1.9,2.0,12.0,37.0,16529.58,427.01,0.37
7,1.0,34.33,100.0,3.0,6.0,1000.0,2991.46,104.7,0.65
8,1.0,310.08,2.54,6.0,6.0,65.38,9436.15,179.81,0.52
9,3.0,222.8,4.2,6.0,12.0,1000.0,17769.12,418.44,0.35
10,1.0,202.17,2.67,2.0,6.0,1000.0,11889.75,119.84,0.47
11,1.0,290.28,3.22,2.0,3.0,60.0,8250.51,211.77,0.54
12,3.0,568.0,4.56,6.0,6.0,90.0,20361.1,872.95,0.29
13,3.0,339.08,3.77,1.0,6.0,58.46,12145.4,804.62,0.46
14,1.0,268.22,2.67,3.0,6.0,90.0,12169.94,175.89,0.46
15,1.0,280.21,4.68,3.0,1.0,52.63,5612.84,293.9,0.59
16,3.0,30.86,3.29,1.0,6.0,1000.0,9313.29,79.73,0.52
17,3.0,175.5,4.0,6.0,3.0,1000.0,11555.44,446.58,0.47
18,1.0,33.29,5.14,3.0,6.0,1000.0,9530.4,27.98,0.51
19,3.0,277.08,6.67,2.0,6.0,62.5,13910.99,440.14,0.42
20,3.0,132.59,5.24,6.0,3.0,62.94,11348.82,298.84,0.48
21,3.0,667.33,100.0,2.0,12.0,70.0,20276.24,849.55,0.3
22,3.0,28.25,100.0,6.0,6.0,32.5,4979.73,124.46,0.61
23,1.0,331.4,4.4,6.0,3.0,28.0,11467.06,219.29,0.47
24,3.0,203.36,4.18,1.0,3.0,67.27,11883.67,494.76,0.47
25,1.0,28.25,1.5,1.0,3.0,1000.0,7620.1,25.8,0.55
26,1.0,123.44,4.56,6.0,12.0,60.0,5579.79,70.78,0.59
27,1.0,5.5,100.0,2.0,6.0,55.0,514.62,100.86,0.7
28,3.0,34.33,100.0,1.0,3.0,1000.0,4627.03,151.0,0.61
29,1.0,323.2,3.2,1.0,1.0,46.0,7758.45,353.96,0.55
30,3.0,4.33,100.0,1.0,3.0,55.0,1214.27,107.43,0.68
31,3.0,164.38,4.12,3.0,1.0,32.5,7414.08,1875.43,0.56
32,3.0,264.5,4.88,3.0,1.0,1000.0,6889.23,3283.16,0.57
33,3.0,226.33,3.56,3.0,3.0,80.0,13268.92,776.14,0.44
34,1.0,186.0,3.62,3.0,3.0,58.46,8813.42,130.43,0.53
35,1.0,187.33,3.17,6.0,3.0,1000.0,10250.42,126.0,0.5
36,1.0,222.4,3.4,1.0,12.0,1000.0,9458.6,153.31,0.52
37,3.0,358.0,3.0,2.0,1.0,1000.0,6223.17,2777.17,0.58
38,3.0,10000.0,2.0,6.0,12.0,70.0,8148.63,33472.0,0.7
39,3.0,366.79,4.36,6.0,12.0,55.0,16933.23,811.29,0.36
40,3.0,370.0,10.0,3.0,6.0,1000.0,21576.67,473.2,0.27
41,1.0,370.0,4.33,2.0,3.0,1000.0,15238.0,256.04,0.4
42,1.0,348.11,3.0,1.0,6.0,50.0,11037.39,231.22,0.48
43,1.0,366.86,3.07,2.0,1.0,61.43,6898.94,433.27,0.57
44,1.0,276.75,5.0,1.0,3.0,32.5,9028.0,203.86,0.52
45,1.0,283.64,2.73,1.0,12.0,59.09,8566.75,186.23,0.53
46,3.0,172.31,4.38,1.0,1.0,51.54,6959.18,973.7,0.57
47,1.0,255.5,8.0,2.0,1.0,1000.0,7193.25,271.69,0.56
48,3.0,30.5,4.25,2.0,12.0,1000.0,13855.2,66.06,0.43
49,3.0,10000.0,1.67,3.0,1.0,70.0,6556.9,42585.33,0.81
50,1.0,370.0,100.0,1.0,12.0,10.0,8991.63,271.72,0.53
51,3.0,131.0,3.8,3.0,6.0,46.0,11582.77,240.09,0.47
52,3.0,35.83,5.0,6.0,6.0,1000.0,12277.0,75.68,0.46
53,3.0,202.45,4.36,6.0,1.0,67.27,7216.25,2447.87,0.56
54,1.0,202.17,3.5,6.0,6.0,1000.0,11198.72,114.38,0.48
55,1.0,337.0,100.0,3.0,1.0,10.0,3883.27,381.21,0.63
56,1.0,277.75,2.75,6.0,12.0,1000.0,12017.85,159.3,0.46
57,3.0,10000.0,4.33,6.0,6.0,1000.0,8483.43,37825.33,0.73
58,3.0,277.88,4.0,2.0,1.0,32.5,6970.58,2014.23,0.57
59,3.0,10000.0,2.0,1.0,3.0,77.5,6317.72,39556.5,0.78
60,1.0,432.0,1.86,3.0,12.0,61.43,12573.0,247.98,0.45
61,3.0,10000.0,4.0,1.0,6.0,55.0,6691.6,38997.75,0.77
62,1.0,352.17,3.83,2.0,12.0,1000.0,13196.8,197.25,0.44
63,1.0,67.33,100.0,2.0,3.0,40.0,6183.25,107.38,0.58
64,1.0,420.6,100.0,6.0,12.0,28.0,8609.44,261.62,0.53
65,3.0,329.0,5.29,2.0,6.0,1000.0,14156.47,584.12,0.42
66,1.0,367.0,3.0,1.0,6.0,1000.0,10296.43,256.64,0.5
67,3.0,111.2,2.6,3.0,12.0,46.0,10301.52,189.56,0.5
68,1.0,242.4,4.8,3.0,12.0,1000.0,11799.66,153.05,0.47
69,1.0,50.75,4.0,3.0,1.0,1000.0,5419.2,62.61,0.6
70,1.0,83.53,4.8,6.0,1.0,52.0,5273.26,91.41,0.6
71,3.0,367.17,3.83,3.0,12.0,1000.0,18196.22,555.18,0.34
72,1.0,179.15,4.46,2.0,12.0,44.62,10638.93,101.18,0.49
73,3.0,34.43,4.43,2.0,3.0,61.43,13698.69,81.64,0.43
74,3.0,277.75,100.0,2.0,1.0,1000.0,5753.21,1023.94,0.59
75,1.0,34.33,100.0,1.0,1.0,1000.0,2596.36,114.15,0.66
76,1.0,37.0,100.0,3.0,12.0,10.0,3072.51,104.79,0.65
77,1.0,222.4,7.2,6.0,1.0,1000.0,6245.51,227.63,0.58
78,3.0,59.0,4.29,1.0,12.0,1000.0,11225.21,145.19,0.48
79,1.0,37.33,100.0,6.0,3.0,1000.0,3092.44,110.68,0.65
80,3.0,204.6,100.0,6.0,12.0,46.0,7069.62,334.46,0.56
81,3.0,340.0,100.0,3.0,6.0,70.0,11357.5,510.04,0.48
82,3.0,60.6,3.0,6.0,1.0,1000.0,9063.56,217.77,0.52
83,1.0,10000.0,2.67,3.0,1.0,40.0,4637.03,16842.33,0.65
84,1.0,202.0,100.0,3.0,3.0,70.0,5330.8,199.02,0.6
85,3.0,37.33,100.0,1.0,12.0,10.0,5433.81,150.81,0.6
86,1.0,144.29,3.0,3.0,3.0,1000.0,5047.47,98.65,0.61
87,1.0,1000.0,4.33,1.0,1.0,1000.0,10251.83,1110.9,0.5
88,1.0,277.75,100.0,6.0,3.0,55.0,6624.76,234.42,0.57
89,1.0,75.25,2.25,2.0,6.0,55.0,13581.27,47.98,0.43
90,1.0,10000.0,2.0,3.0,12.0,100.0,15904.0,5508.2,0.39
91,1.0,253.25,100.0,6.0,6.0,55.0,4563.6,223.86,0.62
92,1.0,10000.0,1.67,1.0,6.0,70.0,22086.33,5821.97,0.27
93,3.0,334.67,100.0,3.0,12.0,40.0,11946.96,443.66,0.47
94,3.0,10000.0,4.67,3.0,3.0,70.0,7441.13,38065.0,0.75
95,1.0,10000.0,2.0,2.0,3.0,100.0,11005.4,9818.83,0.5
96,1.0,334.33,100.0,1.0,6.0,40.0,5358.6,294.72,0.6
