Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
-1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,90.0,20.0,7.0,1.0,15733.16,501.0,1.0
0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,60.0,4.05,4.05,254.62,16.76,0.02
1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,60.0,60.0,4.05,4.05,113.3,7.0,0.0
2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.0,60.0,4.05,4.05,2900.97,153.6,0.297
3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,60.0,60.0,4.05,4.05,492.14,30.74,0.048
4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,60.0,60.0,4.05,4.05,197.6,8.81,0.004
5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,60.0,60.0,4.05,4.05,219.46,9.88,0.006
6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,60.0,60.0,4.05,4.05,185.84,8.3,0.003
7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,60.0,60.0,4.05,4.05,186.22,8.31,0.003
8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,60.0,60.0,4.05,4.05,209.44,18.13,0.023
9,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,60.0,60.0,4.05,4.05,96.79,8.04,0.002
10,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,60.0,60.0,4.05,4.05,2209.34,154.12,0.298
11,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,60.0,60.0,4.05,4.05,402.42,32.83,0.052
12,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,60.0,60.0,4.05,4.05,156.18,9.45,0.005
13,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,60.0,60.0,4.05,4.05,173.21,10.61,0.007
14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,60.0,60.0,4.05,4.05,149.24,9.23,0.005
15,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,60.0,60.0,4.05,4.05,149.5,9.24,0.005
