Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,61.73,53.27,3.73,4.2,159.53,7.67,0.01
1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,57.8,62.68,4.51,3.73,169.35,8.88,0.01
2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,60.8,60.1,4.1,3.46,133.46,8.02,0.01
3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,65.23,54.43,4.5,4.39,298.06,15.59,0.02
4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,61.98,59.34,4.3,4.06,244.74,18.75,0.03
5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,61.35,59.23,2.96,3.15,362.72,45.96,0.08
6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,60.12,62.44,3.1,3.37,87.93,9.17,0.01
7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.97,67.82,4.31,3.64,218.55,8.85,0.01
8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,65.26,51.84,4.32,4.84,122.56,6.26,0.0
9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,62.34,57.34,4.47,4.36,194.09,8.0,0.01
10,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,61.64,59.26,3.64,4.39,313.82,23.7,0.04
11,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,59.05,60.41,3.92,4.3,835.18,62.7,0.12
12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,57.71,59.58,3.58,3.71,148.92,6.65,0.01
13,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,58.43,59.02,3.47,3.88,184.1,13.1,0.02
14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,57.72,63.59,3.54,4.57,299.38,20.78,0.03
15,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,57.98,60.64,4.17,3.89,112.33,6.13,0.0
