Cluster,F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing, TimeToSolution- ,NumberIterations-,d2h
0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,57.91,59.55,3.38,4.0,168.76,7.42,0.011
1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,59.26,61.67,4.19,4.59,443.64,52.15,0.435
2,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,56.38,56.88,3.73,3.83,118.26,7.67,0.014
3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,63.83,54.36,3.96,4.0,112.51,6.49,0.002
4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,65.55,60.82,3.91,4.42,167.84,6.62,0.004
5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.53,62.83,4.64,4.0,192.12,14.06,0.074
6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,60.49,60.85,3.76,3.59,323.93,23.93,0.168
7,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,65.76,56.36,4.15,4.97,314.51,14.97,0.083
8,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,57.02,57.98,3.02,3.83,199.43,10.43,0.04
9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58.82,59.55,4.42,4.09,281.33,17.13,0.103
10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,58.18,61.93,4.41,3.52,100.54,6.55,0.003
11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.27,58.13,3.75,3.92,231.31,17.23,0.104
12,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,59.8,59.59,4.37,4.02,85.67,6.24,0.0
13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57.66,61.49,4.06,4.11,132.88,9.23,0.028
14,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,60.14,62.3,3.65,2.84,1384.98,111.68,1.0
15,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,57.8,63.7,4.78,4.12,184.48,9.98,0.035
