Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,1.0,0.0,0.0,0.06,0.47,0.05,0.5,0.44,0.48,0.5,0.47,0.48,0.0,0.5,0.45,0.06,43.92,3393.99,0.518
1,0.0,0.0,0.0,1.0,0.06,0.47,0.05,0.5,0.44,0.48,0.5,0.47,0.49,0.0,0.5,0.45,0.06,43.92,1075.26,0.23
2,0.0,0.0,1.0,0.0,0.06,0.47,0.05,0.5,0.44,0.48,0.5,0.47,0.49,0.0,0.5,0.45,0.06,43.92,1065.08,0.229
3,0.0,0.0,0.0,0.0,0.07,0.48,0.06,0.5,0.44,0.48,0.5,0.47,0.49,0.02,0.49,0.45,0.07,44.33,1094.75,0.244
4,1.0,0.0,0.0,0.0,0.06,0.47,0.05,0.5,0.44,0.48,0.5,0.47,0.49,0.0,0.5,0.45,0.06,46.57,1092.17,0.318
5,0.0,1.0,0.0,1.0,0.06,0.38,0.06,0.5,0.42,0.39,0.5,0.32,0.43,0.0,0.47,0.04,0.06,42.83,4384.74,0.648
6,0.0,1.0,1.0,0.0,0.06,0.38,0.06,0.5,0.42,0.39,0.5,0.32,0.43,0.0,0.47,0.04,0.06,42.87,4307.33,0.637
7,1.0,1.0,0.0,0.0,0.06,0.38,0.06,0.5,0.42,0.39,0.5,0.32,0.43,0.0,0.47,0.04,0.06,44.91,4887.14,0.741
8,0.0,0.0,1.0,1.0,0.06,0.38,0.06,0.5,0.42,0.39,0.5,0.32,0.43,0.0,0.47,0.04,0.06,42.88,1305.11,0.224
9,1.0,0.0,0.0,1.0,0.06,0.38,0.06,0.5,0.42,0.39,0.5,0.32,0.43,0.0,0.47,0.04,0.06,44.91,1443.22,0.294
10,1.0,0.0,1.0,0.0,0.06,0.38,0.06,0.5,0.42,0.39,0.5,0.32,0.43,0.0,0.47,0.04,0.06,44.96,1434.28,0.294
11,1.0,0.0,1.0,1.0,0.06,0.53,0.06,0.52,0.47,0.5,0.5,0.5,0.51,0.01,0.5,0.07,0.06,43.33,1010.64,0.206
12,1.0,1.0,1.0,0.0,0.06,0.53,0.06,0.52,0.47,0.5,0.5,0.5,0.51,0.01,0.5,0.07,0.06,43.32,3239.69,0.488
13,1.0,1.0,1.0,1.0,0.06,0.53,0.06,0.52,0.47,0.5,0.5,0.5,0.51,0.01,0.5,0.07,0.06,43.32,3240.35,0.488
14,0.0,1.0,1.0,1.0,0.06,0.53,0.06,0.52,0.47,0.5,0.5,0.5,0.51,0.01,0.5,0.07,0.06,41.29,2903.94,0.419
15,1.0,1.0,0.0,1.0,0.06,0.53,0.06,0.52,0.47,0.5,0.5,0.5,0.51,0.01,0.5,0.07,0.06,43.29,3276.38,0.493
16,0.0,0.0,0.0,0.0,0.83,0.44,0.2,0.7,0.62,0.23,0.91,0.68,0.85,0.58,0.28,0.77,0.42,47.01,231.78,0.302
17,0.0,0.0,0.0,0.0,0.97,0.84,1.0,0.5,0.28,0.26,0.65,0.2,0.88,0.12,0.41,0.61,0.2,51.05,860.75,0.468
18,0.0,0.0,0.0,0.0,0.09,0.18,0.55,0.55,0.0,0.49,0.88,0.33,0.58,0.83,0.65,0.39,0.98,45.87,849.24,0.278
19,0.0,0.0,0.0,0.0,0.11,0.75,0.73,0.73,0.3,0.67,0.24,0.09,0.42,0.69,0.77,0.85,0.28,48.16,151.37,0.346
20,0.0,0.0,0.0,0.0,0.19,0.33,0.09,0.86,0.2,0.66,0.39,0.79,0.07,0.75,0.77,0.33,0.56,39.11,710.26,0.083
21,0.0,0.0,0.0,0.0,0.67,0.28,0.73,0.05,0.77,0.27,0.62,0.22,0.26,0.68,0.56,0.51,0.02,57.63,2514.0,0.79
22,0.0,0.0,0.0,0.0,0.7,0.13,1.0,0.69,0.17,0.29,0.84,0.79,0.38,0.64,0.4,0.76,0.32,48.18,293.2,0.347
23,0.0,0.0,0.0,0.0,0.91,0.82,0.73,0.47,0.13,0.7,0.05,0.3,0.93,0.74,0.63,0.35,0.26,47.77,1164.23,0.364
24,0.0,0.0,0.0,0.0,0.47,0.75,0.91,0.66,0.3,0.55,0.35,0.4,0.23,0.0,0.4,0.78,0.65,49.02,326.67,0.379
25,0.0,0.0,0.0,0.0,0.84,0.49,0.48,0.36,0.73,0.25,0.73,0.22,0.37,0.0,0.21,0.57,0.77,53.14,1329.95,0.564
26,0.0,0.0,0.0,0.0,0.21,0.12,0.73,0.1,0.5,0.61,0.14,0.35,0.22,0.67,0.24,0.18,0.12,57.39,3913.9,0.896
