Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,1.0,1.04,13.4,0.6,25.31,4.41,127.5,5.22,64.73,524.15,29.55,51.96,650.86,1.02,44.36,940.9,0.21
1,0.0,1.0,0.0,0.0,1.06,13.24,0.62,25.1,4.65,124.65,-3.37,66.11,512.96,30.0,52.86,585.77,1.05,43.54,3508.01,0.26
2,0.0,0.0,1.0,0.0,1.05,13.24,0.61,26.12,4.52,134.03,0.96,61.34,500.14,29.85,48.93,623.49,1.05,43.97,993.23,0.21
3,1.0,0.0,0.0,0.0,1.05,12.82,0.59,24.38,4.39,128.93,6.22,61.72,514.28,29.49,52.41,599.11,1.02,46.54,1066.11,0.23
4,0.0,0.0,0.0,0.0,1.07,13.01,0.58,25.91,4.71,123.38,-1.34,60.58,506.47,29.96,51.05,634.22,1.08,43.57,968.66,0.2
5,0.0,0.0,0.0,0.0,1.41,3.43,0.56,22.29,3.14,44.71,4.14,4.86,244.43,30.44,44.71,0.0,1.17,40.03,1882.69,0.19
6,0.0,0.0,0.0,1.0,1.03,3.25,0.63,24.92,3.33,37.0,8.58,4.67,285.0,26.02,45.5,0.0,1.36,45.06,2082.91,0.23
7,0.0,1.0,0.0,0.0,0.91,2.75,0.61,22.58,3.17,39.5,-22.58,4.17,226.0,23.93,36.25,0.0,1.25,43.83,6759.81,0.38
8,0.0,0.0,1.0,0.0,0.93,2.62,0.69,22.38,3.25,36.25,23.0,4.25,276.25,24.39,34.38,0.0,1.2,45.35,2062.12,0.24
9,1.0,0.0,0.0,0.0,0.96,3.2,0.66,24.4,3.2,30.2,5.6,4.4,264.0,23.74,18.8,0.0,1.32,47.11,2366.64,0.26
