Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.03,13.64,0.64,25.56,4.43,126.64,-2.26,62.53,494.65,29.6,50.57,638.03,1.04,44.35,972.65,0.263
1,0.0,0.0,0.0,1.0,1.05,12.57,0.6,26.03,4.53,125.56,0.64,66.05,495.04,29.85,50.85,616.18,1.07,44.02,999.89,0.213
2,0.0,1.0,0.0,0.0,1.1,13.38,0.6,25.42,4.64,125.91,4.01,65.67,491.25,30.32,50.3,648.16,1.04,43.75,2953.76,0.277
3,1.0,0.0,0.0,0.0,1.18,3.08,0.68,22.33,2.92,36.92,-4.42,4.33,273.33,24.23,43.67,0.0,1.45,47.11,2252.9,0.689
4,1.0,0.0,0.0,0.0,1.07,13.25,0.59,25.6,4.48,122.68,0.66,62.75,494.72,30.27,50.2,642.76,1.05,46.63,971.14,0.603
5,0.0,0.0,0.0,0.0,1.02,12.65,0.59,24.57,4.58,121.33,-1.33,65.79,510.52,29.83,51.8,601.64,1.04,43.89,1067.53,0.194
6,0.0,0.0,1.0,0.0,1.13,3.22,0.76,29.44,3.22,42.56,17.44,4.89,253.44,23.2,44.89,0.0,1.49,47.33,2133.9,0.718
7,0.0,0.0,0.0,0.0,1.02,3.4,0.62,23.2,2.4,40.2,-10.8,4.8,228.2,29.88,44.4,0.0,1.42,42.59,1561.68,0.064
8,0.0,1.0,0.0,0.0,0.95,2.82,0.68,24.18,3.18,41.09,16.73,4.18,269.09,24.01,43.0,0.0,1.24,43.91,7453.36,0.734
9,0.0,0.0,0.0,1.0,0.92,3.2,0.7,23.2,3.4,36.6,31.2,4.8,278.0,24.48,44.4,0.0,1.14,43.22,2091.71,0.154
