Cluster,Extrema,EnabledOptimizations,DisabledOptimizations,Ls,Dcr,Cf,Lir,Inl,Lur,Wlur,Prfunr,Lus,Cse,Dfr,Wlt,Wlf,Awlf,Ivecyc,Ive,Ivesli,Wlflt,Ae,Dl,Rco,Uip,Dr,Ipc,Wlpg,Cp,Vp,Srf,Phm,Dpa,Msca,Wls,As,Wlsimp,Cwle,Lro,Lao,Pra,Rnb,Rip,Sde,Wlprop,Saa,Cyc,Scyc,Saacyc,Wlsd,Cts,Ucts,Maxoptcyc,Maxlur,Maxwlur,Maxprfur,Maxae,Initmheap,Initwheap,Compile-exit-,Compile-real-,d2h
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35,5.32,10.86,10.19,5.68,5701.19,492.11,0.0,0.82,0.01
1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,20.0,7.0,13.0,1.0,3.0,5120.0,1024.0,0.0,2.24,0.02
2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,8.67,7.0,13.5,6.83,4096.0,538.67,0.0,1.64,0.01
3,0.0,1.0,1.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0.17,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08,0.0,0.0,9.0,7.08,20.0,5.75,3.33,3925.33,877.33,0.0,0.84,0.01
4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,7.8,9.4,5.8,7.0,8601.6,320.0,0.0,0.85,0.01
5,0.05,1.0,1.0,0.02,0.0,0.0,0.09,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.09,0.0,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.14,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.56,0.0,0.02,0.0,0.0,0.02,0.21,0.0,0.02,0.02,7.6,10.14,4.72,12.88,9.91,7977.67,791.07,0.0,0.83,0.01
6,0.02,1.0,1.0,0.0,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.34,0.03,0.02,0.02,0.03,0.06,0.0,0.0,0.0,0.0,0.02,0.02,0.08,0.02,0.0,0.05,0.06,0.0,0.0,0.0,0.0,0.72,0.0,0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.02,0.05,0.0,0.02,0.02,0.0,0.05,0.02,12.4,6.17,4.92,10.94,6.17,7388.55,519.38,0.0,0.91,0.01
7,0.79,1.0,1.0,0.03,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.15,0.0,0.03,0.0,0.0,0.06,0.15,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.29,10.09,4.15,7.71,11.18,8.5,8583.53,432.94,0.0,0.9,0.01
8,0.01,1.0,1.0,0.02,0.02,0.0,0.01,0.01,0.0,0.01,0.37,0.0,0.0,0.02,0.01,0.0,0.0,0.08,0.14,0.01,0.06,0.01,0.01,0.02,0.0,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.01,0.01,0.06,0.01,0.02,0.0,0.01,0.01,0.01,0.04,0.01,0.04,0.0,0.54,0.0,0.04,0.08,0.01,0.04,8.51,4.14,8.35,8.35,7.12,7619.05,338.67,3.19,1.09,0.02
9,0.0,1.0,1.0,0.02,0.0,0.04,0.0,0.0,0.35,0.0,0.04,0.04,0.02,0.02,0.02,0.0,0.02,0.04,0.0,0.0,0.04,0.07,0.12,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.02,0.04,0.07,0.02,0.0,0.02,0.25,0.02,0.02,0.02,0.07,0.28,0.04,0.0,0.02,0.02,0.0,0.02,0.02,4.89,6.72,13.75,12.07,10.67,9305.82,503.58,0.0,0.92,0.01
